Zeneba Academy Of Esthetics,www.zeneba.com,zeneba@myexel.ca,403-230-2202,448 42 Avenue Se,Calgary,AB ,T2G 1Y4,eye
Myo Sport Physiotherapy,www.ywcaofcalgary.com,,403-232-1575,320 5 Avenue Se,Calgary,AB ,T2G 0E5,physiotherapist
Yoga Studio,www.yogastudiocalgary.com,,403-228-5808,110-1330 15 Avenue Sw,Calgary,AB ,T3C 3N6,yoga
Yoga Passage,www.yogapassage.ca,,403-277-3058,Suite 2 Fl-524 11 Ave Sw,Calgary,AB ,T2R 0C8,yoga
,www.ymca.ca,,403-547-6576,8100 John Laurie Boulevard Nw,Calgary,AB ,T3G 3S3,fitness
,www.ymca.ca,,780-790-9622,221 Tundra Drive,Fort McMurray,AB ,T9H 4Z7,fitness
Y M C A Of Medicine Hat,www.ymca-medicinehat.org,,403-527-4426,150 Ash Avenue Se,Medicine Hat,AB ,T1A 3A9,yoga
,www.ymca-medicinehat.org,,403-528-1631,644 Spruce Way Se,Medicine Hat,AB ,T1B 4X4,yoga
,www.ymca-medicinehat.org,,403-529-4733,770 1 Street Se,Medicine Hat,AB ,T1A 0B4,fitness
X-Clusive Pro Salon & Spa,www.xclusivepro.ca,info@xclusivepro.ca,780-988-9776,9526 Ellerslie Road Sw,Edmonton,AB ,T6X 0K6,spa
,www.worldgym.com,,780-538-1003,10629 West Side Drive,Grande Prairie,AB ,T8V 8E6,fitness
Westview Heights,www.westview-heights.com,,403-262-1178,825 8 Ave Sw,Calgary,AB ,T2P 2T4,fitness
Western Naturopathic,www.westernnaturopathic.com,info@westernnaturopathic.com,403-295-8547,152-1440 52 Street Ne,Calgary,AB ,T2A 4T8,naturopath
Western Laser Eye Associates,www.westernlasereye.com,,403-547-9775,2Flr-8555 Scurfield Drive Nw,Calgary,AB ,T3L 1Z6,eye
,www.warrenshepell.com,,403-294-0362,320-407 2 Street Sw,Calgary,AB ,T2P 2Y3,fitness
V R R I Recreation Centre,www.vrri.org,,403-284-2231,3304 33 Street Nw,Calgary,AB ,T2L 2A6,fitness
Visions Eyecare Centre,www.visions-eyecare.com,isee2020@visions-eyecare.com,403-275-3322,Beddington Co-Op Shpg Cntr,Calgary,AB ,T3K 1J7,eye
Valley Taekwondo,www.valley-taekwondo.com,valleytkd@telus.net,780-449-6080,250-130 Broadway Boulevard,Sherwood Park,AB ,T8H 2A3,martial+arts
Recreation Services University Of Lethbridge,www.uleth.ca,,403-329-2706,4401 University Drive West,Lethbridge,AB ,T1K 3M4,martial+arts
Through The Looking Glass Salon & Spa,www.ttlg.ca,,780-490-6114,3442 99 Street Nw,Edmonton,AB ,T6E 5X5,spa
Trico Centre For Family Wellness,www.tricocentre.ca,guestservices@tricocentre.ca,403-278-7542,11150 Bonaventure Drive Se,Calgary,AB ,T2J 6R9,fitness
,www.travelodge.ca,,403-901-0000,350 Ridge Road,Strathmore,AB ,T1P 1B5,fitness
Totally Refreshed Steam And Spa,www.totallyrefreshedsteamandspa.com,,403-314-1933,2-6200 67A Street,Red Deer,AB ,T4P 3E8,spa
,www.total-eyes.com,,780-481-2795,144 Meadowlark Health Centre,Edmonton,AB ,T5R 5W9,eye
,www.topfiresafety.com,sales@topfiresafety.com,780-413-8484,8203 Argyll Road Nw,Edmonton,AB ,T6C 4B2,eye
Tonic Body Spa,www.tonicbodyspa.com,,780-488-2000,10742 124 Street Nw,Edmonton,AB ,T5M 0H1,spa
Tip to Toe Spa Boutique,www.tiptotoecalgary.com,,403-278-4114,492-10816 Macleod Trail Se,Calgary,AB ,T2J 5N8,spa
Tiger Taekwondo,www.tigertaekwondo.com,,780-980-0038,4-6201 50 Street,Leduc,AB ,T9E 7A8,martial+arts
Tien Lung Taekwon-Do School,www.tienlung.com,,780-669-6666,10744 124 Street Nw,Edmonton,AB ,T5M 0H1,martial+arts
Yoga Loft,www.theyogaloft.com,,780-433-8999,2Flr-10309 82 Avenue Nw,Edmonton,AB ,T6E 1Z9,yoga
The Willows Lifestyle Spa,www.thewillowsspa.com,info@thewillowsspa.com,403-257-9623,230-412 Pine Creek Road RR 3,De Winton,AB ,T0L 0X0,spa
,www.thesparitual.com,rejuvenate@thesparitual.com,403-547-9558,106 Crowfoot Terrace Nw,Calgary,AB ,T3G 4J8,spa
Downtown Sports Clinics,www.thedowntownsportsclinics.com,,403-233-7007,300-304 8 Avenue Sw,Calgary,AB ,T2P 1C2,physiotherapist
Cutting Room Salon & Spa,www.thecuttingroomsalon.com,customerservice@thecuttingroomsalon.com,780-496-9977,10536 124 Street Nw,Edmonton,AB ,T5N 1R9,spa
Chiro Clinic,www.thechiroclinic.net,,780-460-2290,207-24 Inglewood Drive,St Albert,AB ,T8N 6K4,chiropractor
One Eye Industries,www.thebeartrap.com,,403-242-4221,12-6320 11 Street SE,Calgary,AB ,T2H 2L7,eye
,www.terrasana.ca,,403-686-2971,26-7337 Sierra Morena Boulevard Sw,Calgary,AB ,T3H 3V4,acupuncture
,www.superopticaledmonton.com,vfung@compusmart.ab.ca,780-439-2828,10517 51 Avenue Nw,Edmonton,AB ,T6H 0K5,eye
Sun Spa,www.sunspa.ca,info@sunspa.ca,403-243-8434,4201A 6 Street Se,Calgary,AB ,T2G 4E7,spa
Sun N Fun Pool & Spa,www.sunnfun.ca,,403-346-4465,9-7711 50 Avenue,Red Deer,AB ,T4P 1M7,spa
Sunclip Express,www.sunclipexpress.ca,,780-483-6668,10546 106 Street Nw,Edmonton,AB ,T5H 2X6,eye
Style Creations Salon & Spa,www.stylecreation.ca,stylecreation@shaw.ca,403-253-0602,214-6455 Macleod Trail Sw,Calgary,AB ,T2H 0K8,spa
Stone Orchid Spa,www.stoneorchidspa.ca,,403-548-3772,3-46 Carry Drive Se,Medicine Hat,AB ,T1B 4E1,spa
,www.stanfordinns.com,,780-539-5678,11401 100 Avenue,Grande Prairie,AB ,T8V 5M6,fitness
Coates Community Chiropractic,www.spinedocs.ca,,403-343-7898,150-3020 22 Street,Red Deer,AB ,T4R 3J5,chiropractor
,www.spatacularhottubs.com,spatac@shaw.ca,403-528-5448,1224 Kingsway Avenue Se,Medicine Hat,AB ,T1A 2Y3,spa
,www.spasolutionalberta.com,,780-791-0891,169 McTavish Crescent,Fort McMurray,AB ,T9K 2N9,spa
Spa Lady,www.spalady.ca,,780-484-5239,17010 90 Avenue Nw,Edmonton,AB ,T5T 1L6,fitness
,www.spaclub.ca,,780-437-7722,10642 82 Avenue Nw,Edmonton,AB ,T6E 2A7,spa
,www.spaceco.com,,403-640-2955,1519 Hastings Crescent SE,Calgary,AB ,T2G 4C8,spa
,www.southcentremall.com,,403-271-7670,100 Anderson Road Se,Calgary,AB ,T2J 3V1,acupuncture
Southcentre Chinese Acupuncture,www.southcentrechineseacupuncture.com,,403-271-6662,165-100 Anderson Road Se,Calgary,AB ,T2J 3V1,acupuncture
Solace Medical Clinic,www.solacemedicalclinic.com,,780-419-3627,36 St Thomas Street,St Albert,AB ,T8N 7J6,acupuncture
Skin Deep Laser & Wellness Spa,www.skindeephealing.com,deepskin@telus.net,780-465-5520,2055 111 Street Nw,Edmonton,AB ,T6J 4V9,spa
,www.skierssportshop.com,,780-433-7227,8605 109 Street Nw,Edmonton,AB ,T6G 1E7,fitness
Shiva Medi-Spa Esthetics,www.shivamedispa.com,,403-508-1820,116-330 5 Avenue Sw,Calgary,AB ,T2P 0L4,spa
,www.shelkor.com,,780-539-5380,104-10126 97 Avenue,Grande Prairie,AB ,T8V 7X6,eye
Scarboro Chiropractic Wellness Centre,www.scarborohealth.com,,403-228-5922,1507 16 Avenue Sw,Calgary,AB ,T3C 0Z9,acupuncture
Satin Touch Laser & Spa,www.satinlaser.com,,403-240-0202,250-5255 Richmond Road Sw,Calgary,AB ,T3E 7C4,spa
Sante Spa,www.santespa.com,info@santespa.com,403-228-2772,240-508 24 Avenue Sw,Calgary,AB ,T2S 0K4,spa
Sanguine Yoga,www.sanguineyoga.com,,403-532-7888,105-2763 Sunridge Way Ne,Calgary,AB ,T1Y 7K7,yoga
Head 2 Toe Salon & Spa,www.salonhead2toe.com,bitu629@hotmail.com,780-488-3382,10154 114 Street Nw,Edmonton,AB ,T5K 1R7,spa
Melange Salon & Spa,www.salon-melange.com,info@salon-melange.com,780-465-2425,102-1207 91 Street Sw,Edmonton,AB ,T6X 1E9,spa
Royal Oak Dental,www.royaloakclinic.com,info@royaloakclinic.com,403-547-8888,192 8888 Country Hills Blvd,Calgary,AB ,T3G 5T4,physiotherapist
