,www.yyoga.ca,,604-736-6002,Suite 2Fl-1627 Broadway W,Vancouver,BC ,V6J 1W9,yoga
Image Smiles Dental,,,604-874-0028,1407-805 Broadway West,Vancouver,BC ,V5Z 1K1,dentist
Yuen's Family Martial Arts Centers,www.yuensfmac.com,,604-939-0978,1106 Austin Avenue,Coquitlam,BC ,V3K 3P5,martial+arts
,www.yoshukaiinternationalkarate.com,,604-575-2324,101-19045 54 Avenue,Surrey,BC ,V3S 4R1,martial+arts
,www.ymca.ca,,250-562-9341,2020 Massey,Prince George,BC ,V2L 3V9,physiotherapist
Yarrow Physiotherapy & Acupuncture,www.yarrowclinic.com,yarrow33@telus.net,250-385-3151,330-645 Fort Street,Victoria,BC ,V8W 1G2,physiotherapist
Gold's Gym,www.worldgymcranbrook.com,,250-417-4653,185-1500 Cranbrook Street North,Cranbrook,BC ,V1C 3S8,fitness
Woo Kim Langley Tae Kwon Do School,www.wookimlangleytaekwondo.,,604-532-1002,109-20505 Fraser Highway,Langley,BC ,V3A 4G3,martial+arts
Woodgrove Pines Chiropractic Clinic,www.woodgrovepinesclinic.com,info@woodgrovepinesclinic.com,250-390-2003,Portsmouth Rd,Nanaimo,BC ,V9V 1A3,naturopath
Women Zone Fitness & Aerobics,www.womenzone.bc.ca,,250-562-6365,1790 Quinn Street South,Prince George,BC ,V2N 1X3,yoga
Willow Dental Care,www.willowdentalcare.com,info@willowdentalcare.com,604-873-9794,807-805 Broadway West,Vancouver,BC ,V5Z 1K1,dentist
,www.wetzone.bc.ca,info@wetzone.bc.ca,250-769-4155,1760 Byland Road,Kelowna,BC ,V1Z 1A9,spa
Westwood Chiropractic & Massage,www.westwoodchiro.com,thedocs@westwoodchiro.com,604-944-7400,Suite 204-2963 Glen Dr,Coquitlam,BC ,V3B 2P7,chiropractor
West Vancouver Denture Clinic,www.westvancouver.net,,604-921-6628,1445 Marine Drive,West Vancouver,BC ,V7T 1B8,dentist
Westside Physiotherapy & Hand Clinic,www.westsidephysio.com,,604-731-6225,303-2150 Broadway West,Vancouver,BC ,V6K 4L9,physiotherapist
Westshore Massage Therapy,www.westshoremassage.ca,admin@westshoremassage.ca,250-478-1120,112-2800 Bryn Maur Road,Victoria,BC ,V9B 3T4,acupuncture
Westshore Dance Studios,www.westshore.bc.ca,,250-478-3067,201-797 Goldstream Avenue,Victoria,BC ,V9B 2X5,fitness
West End Physiotherapy Clinic,www.westendphysio.com,,604-684-0047,440-1550 Alberni Street,Vancouver,BC ,V6G 1A5,physiotherapist
West End Optometry,www.westendoptometry.com,,604-662-3929,126-1030 Denman Street,Vancouver,BC ,V6G 2M6,eye
,www.westcoastsmile.com,info@westcoastsmile.com,604-737-1023,1 1874 1st Avenue W,Vancouver,BC ,V6J 1G5,spa
Westcoast Plasma Gallery,www.westcoastplasma.ca,,604-669-5001,89 Smithe Street,Vancouver,BC ,V6B 1C3,eye
West 4th Physiotherapy Clinic,www.west4thphysio.com,info@west4thphysio.com,604-730-9478,216-2211 4th Avenue West,Vancouver,BC ,V6K 4S2,fitness
,www.waterfordforseniors.net,,604-943-5954,1345 56 Street,Delta,BC ,V4L 2P9,fitness
Warrior Spirit Martial Arts,www.warriorspirit.net,,604-476-1839,22720 Dewdney Trunk Road,Maple Ridge,BC ,V2X 3K2,martial+arts
