Urban Oasis Mineral Spa,www.urbanoasismineralspa.com,,204-783-8131,1445 Portage Avenue,Winnipeg,MB ,R3G 3P4,spa
Tae Ryong Park Academy,www.trpacademy.com,,204-477-5425,95 Scurfield Boulevard,Winnipeg,MB ,R3Y 1G4,martial+arts
Tiger Claw Kung-Fu School,www.tigerclaw.ca,,204-942-4829,55 Arthur Street,Winnipeg,MB ,R3B 1H1,martial+arts
Strada Personal Spa,www.stradapersonalspa.com,,204-953-3620,445 Stradbrook Avenue,Winnipeg,MB ,R3L 0J7,spa
,www.spaworkswinnipeg.ca,,204-783-8827,942 St James Street,Winnipeg,MB ,R3H 0K3,spa
,www.plessisphysiotherapy.ca,,204-222-2432,14-801 Regent Avenue West,Winnipeg,MB ,R2C 3A7,physiotherapist
Image Plus Laser Eye Centre,www.imageplus.ca,info@imageplus.ca,1-800-362-8711,1015 233 Kennedy St,Winnipeg,MB ,R3C 3J5,eye
Fort Rouge Dental Group,www.fortrougedentalgroup.ca,,204-284-8216,566 Osborne Street,Winnipeg,MB ,R3L 2B4,eye
For Eyes Optical Boutique,www.foreyesoptical.ca,,204-889-7408,2090 Corydon,Tuxedo Junction,Win,innipeg,eye
Acupuncture & Chinese Medical Centre,www.drshi.ca,,204-947-1179,305-225 Vaughan Street,Winnipeg,MB ,R3C 1T7,acupuncture
,www.crownspas.com,,204-783-8501,100 King Edward Street East,Winnipeg,MB ,R3H 0N8,spa
Buffie & Co Salon Spa,www.buffieandcompany.com,,204-334-2833,Suite 8-2539 Main St,West Kildonan,MB ,R2V 4G4,spa
,www.birthrootsdoulas.com,info@birthrootsdoulas.com,204-792-6769,206-83 Sherbrook Street,Winnipeg,MB ,R3C 2B2,yoga
All Seniors Care Living Centres,www.allseniorscare.com,,204-885-1415,10 Hallonquist Dr,Winnipeg,MB ,R2Y 2M5,physiotherapist
Affordable Day Spa,www.affordabledayspa.ca,,204-339-4070,1-1790 Main Street,Winnipeg,MB ,R2V 2A1,spa
Kashin Optometric Group (KOG Eyecare),,,1-877-443-9267,Lombard Concourse 1 Lombard,Winnipeg,MB,,eye
Riverstone Spa,,,1-877-377-4100,75 Forks Market Road,Winnipeg,MB ,R3C 0A2,spa
,,,1-866-931-9008,7-1514 Regent Avenue West,Winnipeg,MB ,R2C 3B4,spa
,,,1-866-807-7514,1761 Pembina Highway,Winnipeg,MB ,R3T 2G6,spa
Elkhorn Resort Spa & Conference Centre,,,1-866-355-4676,Mooswa Dr E,Onanole,MB ,R0J 1N0,spa
Fitness Experience,,,1-800-775-6032,640 King Edward Street,Winnipeg,MB ,R3H 0P2,fitness
,,,1-800-361-6173,150,Rue King,Mon,ontreal,martial+arts
Shapes Women's Fitness Centres,,,204-989-7100,18-1910 Pembina Highway,Winnipeg,MB ,R3T 4S5,fitness
Shapes Fitness Centres,,,204-989-7050,21-1910 Pembina Highway,Winnipeg,MB ,R3T 4S5,fitness
F 3 Fitness Fun Fashion,,,204-989-6696,1910 Pembina Hwy,Winnipeg,MB ,R3T 4S5,fitness
Shapes Fitness Centres,,,204-989-6695,10-1150 Nairn Avenue,Winnipeg,MB ,R2L 0Y5,fitness
Shapes Fitness Centres,,,204-989-6628,11-1150 Nairn Avenue,Winnipeg,MB ,R2L 0Y5,fitness
,,,204-989-5316,427 McPhillips Street,Winnipeg,MB ,R2X 2Z8,fitness
Concourse Chiropractic & Massage Therapy,,,204-989-2225,36-1 Lombard Place,Winnipeg,MB ,R3B 0X3,acupuncture
Howdle McLean Physiotherapy,,,204-987-9222,534 Waterloo Street,Winnipeg,MB ,R3N 0T1,acupuncture
,,,204-985-0900,1851 Grant,Tuxedo,MB ,R3N 2A4,spa
,,,204-982-9600,135 Roslyn Road,Winnipeg,MB ,R3L 0G7,fitness
River East Physiotherapy & Sports Fitness Clinic,,,204-982-9195,1204 Rothesay Street,Winnipeg,MB ,R2G 1T7,acupuncture
River East Physiotherapy & Sports Fitness Clinic,,,204-982-9191,1215A Henderson Highway,Winnipeg,MB ,R2G 1L8,physiotherapist
Nova Physiotherapy Women's Health Centre,,,204-982-9177,714-233 Kennedy Street,Winnipeg,MB ,R3C 3J5,physiotherapist
Nova Physiotherapy & Sports Fitness Clinic,,,204-982-9176,714 Medical Arts Bldg,Winnipeg,MB ,R3C 3J5,physiotherapist
,,,204-975-1555,107-912 Portage Avenue,Winnipeg,MB ,R3G 0P5,fitness
