"1-2-1 Therapy Medical Laser Treatment & Esthetic Clinic","506-457-4789","Fredericton Medical Clinic , Fredericton , NB E3B 6H5","www.5064574789.yp.ca",,clinic
"A A Dental Clinic","506-634-7212","126 Duke Street , Saint John , NB E2L 1N6","www.5066347212.yp.ca",,clinic
"Acadie Optometry Clinic/Clinique d'optométrie Acadie","506-533-8811","4 Allee Vision , Shediac , NB E4P 0B4","www.5065338811.yp.ca",,clinic
"Active Physiotherapy Clinic","506-652-4711","33 Beaverbrook Avenue , Saint John , NB E2K 2W2","www.5066524711.yp.ca",,clinic
"Active Therapy Clinic","506-454-5433","161 Northumberland Street , Fredericton , NB E3B 3J2","www.activetherapyclinic.com",,clinic
"Active Therapy Clinic","506-389-9152","298 Mill Road , Moncton , NB E1A 4B1","www.5063899152.yp.ca",,clinic
"Acupuncture & Chinese Medicine Clinic","506-382-1288","1269 Mountain Road , Moncton , NB E1C 2T9","www.5063821288.yp.ca",,clinic
"Acupuncture Clinic","506-753-4421","91 Roseberry Street , Campbellton , NB E3N 2G6","www.5067534421.yp.ca",,clinic
"Acupuncture Clinic-Dr Lisa Yang MD-CCFP-CAFCI","506-648-0606","243 Loch Lomond Road , Saint John , NB E2J 1Y6","www.5066480606.yp.ca",,clinic
"Adent Clinic","1-800-406-1188","","www.8004061188.yp.ca",,clinic
"Adica Massage Clinic","506-455-1050","155 Smythe Street , Fredericton , NB E3B 3C7","www.5064551050.yp.ca",,clinic
"Adult Asthma Clinic","506-672-3504","110 Crown Street , Saint John , NB E2L 2X7","www.5066723504.yp.ca",,clinic
"Advanced Laser Esthetics Clinic Inc","506-553-6300","245 Cote Mill Road , Dsl De Drummond , NB E3Y 1N6","www.5065536300.yp.ca",,clinic
"Advanced Therapeutic Treatment Center","506-454-3773","1015 Regent Street , Fredericton , NB E3B 6H5","www.5064543773.yp.ca",,clinic
"After Hours Causeway Medical Clinic","506-384-8400","438 Coverdale Road , Riverview , NB E1B 4R9","www.5063848400.yp.ca",,clinic
"After Hours Medical Clinic (Moncton North)-Lounsbury Ctr","506-854-2273","1633 Mountain Road , Moncton , NB E1G 1A5","www.5068542273.yp.ca",,clinic
"After Hours Medical Clinic (Mountain Rd)","506-388-9355","1789 Mountain Road , Moncton , NB E1G 5C4","www.5063889355.yp.ca",,clinic
"Allaby Chiropractic Clinics","506-454-2225","763 Regent Street , Fredericton , NB E3B 3Y5","www.5064542225.yp.ca",,clinic
"Allaby Chiropractic Clinics","506-357-2225","255 Restigouche Road , Oromocto , NB E2V 2H1","www.5063572225.yp.ca",,clinic
"Alliance Vision Clinic","506-388-2211","340 Mountain Road , Moncton , NB E1C 2M6","www.5063882211.yp.ca",,clinic
"Alliance Vision Clinic","506-388-2277","211 Champlain Dieppe , Moncton , NB ","www.5063882277.yp.ca",,clinic
"Alliance Vision Clinic/A Division Of Fyi Eye Doctors","506-388-2211","340 Mountain Road , Moncton , NB E1C 2M6","www.5063882211.yp.ca",,clinic
"Alliance Vision Clinic/A Division Of Fyi Eye Doctors","506-756-1992","41 Main Street , Petitcodiac , NB E4Z 4L9","www.5067561992.yp.ca",,clinic
"Alliance Vision Clinic/A Division Of Fyi Eye Doctors","506-388-2277","211 Champlain Dieppe , Moncton , NB ","www.5063882277.yp.ca",,clinic
"Alliance Vision Clinic / Clinique De Vision Alliance","506-388-2211","340 Mountain Road , Moncton , NB E1C 2M6","www.5063882211.yp.ca",,clinic
"Amicus Chiropractic Centre","506-523-7243","100 Main , Rexton , NB E0A 2M0","www.5065237243.yp.ca",,clinic
"Anew Start Allergy Clinic","506-472-3010","245 Main Street , Fredericton , NB E3A 1E1","www.5064723010.yp.ca",,clinic
"Angel's Nutri-Clinic","506-576-0714","4713 Route 134 , Cocagne , NB E4R 2Y1","www.5065760714.yp.ca",,clinic
"Anik Theriault RMT","506-476-6479","New Maryland , Fredericton , NB ","www.5064766479.yp.ca",,clinic
"Anti-Aging Medical Clinic Of Vancouver","1-877-422-4464","","www.8774224464.yp.ca",,clinic
"Johnson Stephen Dr B Sc DP","506-632-9422","152 Somerset Street , Saint John , NB E2K 2X6","www.5066329422.yp.ca",,clinic
"Johnson Stephen Dr B Sc DP","506-832-4282","NB ","www.5068324282.yp.ca",,clinic
"Kamm Lab Medical Laboratory Services","506-743-6655","190 Rue Acadie , Bouctouche , NB E4S 2T5","www.5067436655.yp.ca",,clinic
"Kamm Lab Medical Laboratory Services","506-383-5070","667 Rue Champlain , Dieppe , NB E1A 1P6","www.5063835070.yp.ca",,clinic
"Keays-Thompson-Haley Physiotherapy","506-858-8644","333 St George , Moncton , NB E1C 1W8","www.5068588644.yp.ca",,clinic
"Kennebecasis Denture Clinic","506-832-3803","599 Main Street , Hampton , NB E5N 6C2","www.5068323803.yp.ca",,clinic
"Kennebecasis Valley Health Services","506-848-4610","175 Hampton Rd NB E2E 4V7","www.5068484610.yp.ca",,clinic
"Keswick Vet Clinic","506-363-3073","Crocks Pt Rd , Mouth Of Keswick , NB E0H 1N0","www.5063633073.yp.ca",,clinic
"Keystone Physiotherapy-See Keays-Thompson-Haley Physiotherapy","","NB ",,,clinic
"Kinesi - Health Clinic","506-855-6427","211 Rue Champlain , Dieppe , NB E1A 1N9","www.5068556427.yp.ca",,clinic
"Kingswood Massage Therapy Clinic","506-462-9012","31 Kingswood Pk , Fredericton , NB E3E 4R5","www.frederictonmassage.com",,clinic
"Kobaisy Dental Clinic","1-866-535-2887","","www.8665352887.yp.ca",,clinic
"Kootenay Hearing Aid & Audiology Clinic","1-800-667-3775","","www.8006673775.yp.ca",,clinic
"Kootenay Hearing Aid & Audiology Clinic","1-888-467-4496","","www.8884674496.yp.ca",,clinic
"Koster Denture Clinic","1-800-458-6933","","www.8004586933.yp.ca",,clinic
"Krinis Nicolas Physiotherapist","506-684-2044","Darlington Mall , Dalhousie , NB E0K 1B0","www.5066842044.yp.ca",,clinic
"KV Dental","506-847-9836","53 Clark Rd , Rothesay , NB ","www.5068479836.yp.ca",,clinic
"KV Medical Clinic","506-849-2273","140 Old Hampton Rd , Rothesay , NB ","www.5068492273.yp.ca",,clinic
"Landing Clinic","506-849-3937","2C Landing Court , Quispamsis , NB E2E 4R2","www.5068493937.yp.ca",,clinic
"Laserium Cos-Medic Laser Hair Removal Clinic Inc","1-866-415-2737","","www.8664152737.yp.ca",,clinic
"LASIK MD","1-866-366-2020","","www.lasikmd.com",,clinic
"LASIK MD","1-866-366-2020","","www.lasikmd.com",,clinic
"LCI Lasercom Clinics International","1-800-217-6789","","www.8002176789.yp.ca",,clinic
"LCI Lasercom Clinics International","1-877-467-6668","","www.8774676668.yp.ca",,clinic
"Le Bon Sang","506-743-7373","101 Rue Evangeline , Bouctouche , NB E4S 5L4","www.5067437373.yp.ca",,clinic
"Leger Denture Clinic","506-546-4486","958 Rue Principale , Beresford , NB E8K 2H6","www.5065464486.yp.ca",,clinic
"Levi Physiotherapy & Wellness Clinic Inc","506-523-6994","9086 Rte 116 , Elsipogtog , NB E0A 2L0","www.5065236994.yp.ca",,clinic
"Loftus Auto Clinic Inc","506-857-2042","145 Loftus , Moncton , NB E1E 1J2","www.5068572042.yp.ca",,clinic
"Loftus Auto Clinic & Towing","506-857-2042","145 Loftus , Moncton , NB E1E 1J2","www.5068572042.yp.ca",,clinic
