
Fitsystems Inc,www.fitsystems.com,dave@fitsystems.com,1-800-665-6498,6733 Fairmount Drive SE,Calgary,AB ,T2H 0X6,fitness
Aradia Fitness,www.8662745686.yp.ca,,1-866-274-5686,10121 82 Avenue NW,Edmonton,AB ,T6E 1Z5,fitness
Nova Hotels,www.8664016682.yp.ca,,1-866-401-6682,159 Airport Road Nw,Edmonton,AB ,T5G 0W6,fitness
Wingate By Wyndham Calgary,www.wingatebywyndhamcalgary.com,,1-877-614-7666,400 Midpark Way Se,Calgary,AB ,T2X 3S4,fitness
Comfort Inn & Suites,www.2503720987.yp.ca,,250-372-0987,1810 Rogers Place,Kamloops,BC ,V1S 1T7,fitness
Curves For Women,www.3062284272.yp.ca,,306-228-4272,210 Main St,Unity,SK ,S0K 4L0,fitness
Westlake Physical Therapy,www.3062362634.yp.ca,,306-236-2634,808 9th Street West,Meadow Lake,SK ,S9X 1S9,fitness
Fitness Dynamics Ltd,www.3062365636.yp.ca,,306-236-5636,104 1st Street East,Meadow Lake,SK ,S9X 1P8,fitness
Alta-Sask Resolution Rehabilitation & Sports Physiot,www.3068252383.yp.ca,,306-825-2383,4517 50 Avenue,Lloydminster,SK ,S9V 0Z9,fitness
Jones Studio Of Pilates & Highland Dance,www.3068253045.yp.ca,,306-825-3045,5001 50 Avenue,Lloydminster,SK ,S9V 0P8,fitness
Blackmer Physiotherapy,www.3068934180.yp.ca,,306-893-4180,115 Main St,Maidstone,SK ,S0M 1M0,fitness
Counterpoint Dance Academy Marda Loop,www.counterpointdance.com,,403-201-5519,Bsmt-3522 19 Street SW,Calgary,AB ,T2T 4X6,fitness
Calgary Tae Kwon Do Academy (West),www.calgarytkd.com,,403-201-5737,2711 17 Avenue Sw,Calgary,AB ,T3E 0A6,fitness
World Health Club,www.4032017677.yp.ca,,403-201-7677,21-240 Midpark Way SE,Calgary,AB ,T2X 1N4,fitness
National Sports Development Ltd,www.nsd365.com,info@nsd365.com,403-201-8788,7475 Flint Road Se,Calgary,AB ,T2H 1G3,fitness
Curves For Women,www.4032019888.yp.ca,,403-201-9888,3217-150 Millrise Boulevard SW,Calgary,AB ,T2Y 5G7,fitness
Dynamic Health & Fitness Inc,www.4032030322.yp.ca,,403-203-0322,2830 Glenmore Trail Se,Calgary,AB ,T2C 2E6,fitness
Canine Fitness Centre The,www.4032040823.yp.ca,,403-204-0823,509 42 Avenue SE,Calgary,AB ,T2G 1Y7,fitness
WOW! Work Out World,www.workoutworld.ca,clubwow@shaw.ca,403-204-1969,440 28 Street Ne,Calgary,AB ,T2A 6T3,fitness
Curves For Women,www.4032085548.yp.ca,,403-208-5548,24-7750 Ranchview Drive Nw,Calgary,AB ,T3G 1Y9,fitness
Go-Mango Fitness Equipment,www.4032089882.yp.ca,,403-208-9882,313A-3630 Brentwood Road NW,Calgary,AB ,T2L 1K8,fitness
Curves-Royal Oak,www.4032089945.yp.ca,,403-208-9945,904-8888 Country Hills Boulevard NW,Calgary,AB ,T3G 5T4,fitness
Willow Park Village Shopping Centre,www.wpv.ca,,403-214-7565,102-10816 Macleod Trail Se,Calgary,AB ,T2J 5N8,fitness
Ki Fitness Personal Training Studio,www.4032154549.yp.ca,,403-215-4549,200-1228 Kensington Road NW,Calgary,AB ,T2N 3P7,fitness
Curves,www.4032176284.yp.ca,,403-217-6284,109-6490 Old Banff Coach Road Sw,Calgary,AB ,T3H 5R8,fitness
Fitness Depot,www.4032198888.yp.ca,,403-219-8888,4512 10 Street NE,Calgary,AB ,T2E 6K3,fitness
BDB Martial Arts,www.4032201426.yp.ca,,403-220-1426,1-3300 14 Avenue Ne,Calgary,AB ,T2A 6J4,fitness
Recreation & Fitness Swims,www.4032206755.yp.ca,,403-220-6755,A101 Physical Education,Calgary,AB,,fitness
All Fitness,www.4032230067.yp.ca,,403-223-0067,5203 49 Ave,Taber,AB ,T1G 1T7,fitness
Bodymasters Gym,www.4032233739.yp.ca,,403-223-3739,5209 48 Avenue,Taber,AB ,T1G 1S8,fitness
CURVES,www.4032238188.yp.ca,,403-223-8188,5327 48 Avenue,Taber,AB ,T1G 1S7,fitness
Fitness Equipment Of Calgary Ltd,www.fitnessequipmentcalgary.com,,403-225-0485,412-10816 Macleod Trail Se,Calgary,AB ,T2J 5N8,fitness
Yoga Haven The,www.4032250580.yp.ca,,403-225-0580,206-9919 Fairmount Drive Se,Calgary,AB ,T2J 0S3,fitness
