
Calgary Tae Kwon Do Academy (West),www.calgarytkd.com,,403-201-5737,2711 17 Avenue Sw,Calgary,AB ,T3E 0A6,martial+arts
5 Elements Martial Arts Ltd,www.4032018825.yp.ca,,403-201-8825,200-2577 Bridlecrest Way Sw,Calgary,AB ,T2Y 5J4,martial+arts
Peaceful Warrior Martial Arts Ltd,www.4032020707.yp.ca,,403-202-0707,6-5720 Silver Springs Boulevard NW,Calgary,AB ,T3B 4N7,martial+arts
National Kickboxing Corporation,www.4032081296.yp.ca,,403-208-1296,25-7750 Ranchview Drive NW,Calgary,AB ,T3G 1Y9,martial+arts
BDB Martial Arts,www.bdbma.com,bdbma1@hotmail.com,403-220-1426,1-3300 14 Avenue Ne,Calgary,AB ,T2A 6J4,martial+arts
Calgary Budo Karate & Jiu-Jitsu,www.4032260041.yp.ca,,403-226-0041,5718 1A Street Sw,Calgary,AB ,T2H 0E8,martial+arts
Advantage Tae Kwon-Do School,www.4032275002.yp.ca,,403-227-5002,4928 49 Street,Innisfail,AB ,T4G 1N2,martial+arts
Chinese Boxing Connection,www.4032275500.yp.ca,,403-227-5500,4004 42 Avenue,Innisfail,AB ,T4G 1P6,martial+arts
Dragon's Den,www.4032283823.yp.ca,,403-228-3823,7-222 16 Avenue Ne,Calgary,AB ,T2E 1J8,martial+arts
Martial Arts Fitness Centres,www.4032287744.yp.ca,,403-228-7744,1202 12 Avenue Sw,Calgary,AB ,T3C 0P3,martial+arts
Tecumseh Tae Kwon-Do Society,www.tecumsehtkd.com,,403-229-9151,5-4127 6 Street Ne,Calgary,AB ,T2E 6V5,martial+arts
Calgary Ki Society,www.4032308805.yp.ca,,403-230-8805,133-5723 10 Street Ne,Calgary,AB ,T2E 8W7,martial+arts
Calgary Vovinam Martial Arts Association,www.4032353512.yp.ca,,403-235-3512,319-4909 17 Avenue SE,Calgary,AB ,T2A 0V5,martial+arts
Taoist Tai Chi Society Of Canada,www.4032404566.yp.ca,,403-240-4566,2310 24 Street Sw,Calgary,AB ,T2T 5H8,martial+arts
Kee's Tae Kwon Do School,www.kees.ca,calgary@kees.ca,403-241-4995,15-735 Ranchlands Boulevard Nw,Calgary,AB ,T3G 3A9,martial+arts
Grand Master Park's Korean Martial Arts School,www.4032423550.yp.ca,,403-242-3550,Bsmt-2402 10 Avenue Sw,Calgary,AB ,T3C 0K6,martial+arts
Ki C Yoon Martial Arts Academy,www.4032430343.yp.ca,,403-243-0343,4-823 41 Avenue Ne,Calgary,AB ,T2E 6Y3,martial+arts
Kung Fu For Life Inc,www.4032435433.yp.ca,,403-243-5433,345 39 Avenue Se,Calgary,AB ,T2G 1X5,martial+arts
Sannan Karate Academy,www.4032435787.yp.ca,,403-243-5787,Po Box 4323 Stn C,Calgary,AB ,T2T 5N2,martial+arts
Wing Chun Academy,www.4032436608.yp.ca,,403-243-6608,3-412 53 Avenue Se,Calgary,AB ,T2H 0N4,martial+arts
Aikido Calgary Aikikai,www.calgaryaikikai.com,,403-243-9880,3818 14A Street Sw,Calgary,AB ,T2T 3Y2,martial+arts
Mike Miles Muay Thai & Kickboxing Ltd,www.4032448424.yp.ca,,403-244-8424,6041 6 Street Se,Calgary,AB ,T2H 1L8,martial+arts
Teofista Boxing Club,www.4032474700.yp.ca,,403-247-4700,21-5720 Silver Springs Boulevard Nw,Calgary,AB ,T3B 4N7,martial+arts
Calgary Academy Of Karate,www.4032501044.yp.ca,,403-250-1044,4-2135 32 Avenue Ne,Calgary,AB ,T2E 6Z3,martial+arts
Impact Boxing Club,www.boxing.ca,,403-250-1771,435 10 Avenue SE,Calgary,AB ,T2G 0W3,martial+arts
