
Westcor Mortgage,www.westcormortgage.com,mail@westcormortgage.com,1-800-213-9996,1212 1 St SE,Calgary,AB ,T2G 2H8,eye
Visionmed Laser Eye Surgery,www.8004213937.yp.ca,,1-800-421-3937,11208 104 Avenue Nw,Edmonton,AB ,T5K 2X4,eye
Fitsystems,www.fitsystems.com,dave@fitsystems.com,1-800-665-6498,6733 Fairmount Drive SE,Calgary,AB ,T2H 0X6,fitness
Spalding Hardware,www.8008370850.yp.ca,,1-800-837-0850,11515 105 Avenue NW,Edmonton,AB ,T5H 3Y5,spa
Aradia Fitness,www.8662745686.yp.ca,,1-866-274-5686,10121 82 Avenue NW,Edmonton,AB ,T6E 1Z5,fitness
Nova Hotels,www.8664016682.yp.ca,,1-866-401-6682,159 Airport Road Nw,Edmonton,AB ,T5G 0W6,fitness
Visionmed Laser Eye Surgery,www.8664213937.yp.ca,,1-866-421-3937,290 Kingsway Garden Mall Nw,Edmonton,AB ,T5G 3A6,eye
Optometrists Clinic,www.8666592020.yp.ca,,1-866-659-2020,15-10030 106 Street,Westlock,AB ,T7P 2K4,eye
Surehire,www.8669444473.yp.ca,,1-866-944-4473,762 15 Street Sw,Medicine Hat,AB ,T1A 4W6,physiotherapist
True North Mortgage,www.truenorthmortgage.ca,support@truenorthmortgage.ca,1-877-248-6677,208-435 4 Avenue Sw,Calgary,AB ,T2P 3A8,eye
Wingate By Wyndham Calgary,www.wingatebywyndhamcalgary.com,,1-877-614-7666,400 Midpark Way Se,Calgary,AB ,T2X 3S4,fitness
Alberta Whirlpool & Spas,www.8777117727.yp.ca,,1-877-711-7727,5605 99 Street NW,Edmonton,AB ,T6E 3N8,spa
Pamper Yourself Spa,www.pamperyourselfspa.com,info@pamperyourselfspa.com,250-341-6266,492 93&95 Highway RR 2,Invermere,BC ,V0A 1K2,spa
Comfort Inn & Suites,www.2503720987.yp.ca,,250-372-0987,1810 Rogers Place,Kamloops,BC ,V1S 1T7,fitness
Sante Spa Bear Mountain,www.2503913920.yp.ca,,250-391-3920,1999 Country Club Way,Victoria,BC ,V9B 6R3,spa
Sparwood Chiropractic,www.2504256330.yp.ca,,250-425-6330,Suite 102-101 Red Cedar Dr,Sparwood,BC ,V0B 2G0,chiropractor
Mon-Gee Sunrise Wellness Spa,www.3062282808.yp.ca,,306-228-2808,120 2nd St E,Unity,SK ,S0K 4L0,spa
Curves For Women,www.3062284272.yp.ca,,306-228-4272,210 Main St,Unity,SK ,S0K 4L0,fitness
Westlake Physical Therapy,www.3062362634.yp.ca,,306-236-2634,808 9th Street West,Meadow Lake,SK ,S9X 1S9,fitness
Fitness Dynamics,www.3062365636.yp.ca,,306-236-5636,104 1st Street East,Meadow Lake,SK ,S9X 1P8,fitness
R M Of Eye Hill No 382,www.3067532075.yp.ca,,306-753-2075,5001 Press,Macklin,SK ,S0L 2C0,eye
Alta-Sask Resolution Rehabilitation & Sports Physiot,www.3068252383.yp.ca,,306-825-2383,4517 50 Avenue,Lloydminster,SK ,S9V 0Z9,fitness
Jones Studio Of Pilates & Highland Dance,www.3068253045.yp.ca,,306-825-3045,5001 50 Avenue,Lloydminster,SK ,S9V 0P8,fitness
Buzz Spas,www.3068256153.yp.ca,,306-825-6153,4630 50 Street,Lloydminster,SK ,S9V 1B8,spa
Family Medical Clinic,www.3068258877.yp.ca,,306-825-8877,4615 49 Avenue,Lloydminster,SK ,S9V 0T1,acupuncture
Blackmer Physiotherapy,www.3068934180.yp.ca,,306-893-4180,115 Main St,Maidstone,SK ,S0M 1M0,physiotherapist
Fish Creek Chiropractic,www.4032011507.yp.ca,,403-201-1507,3215-380 Canyon Meadows Drive SE,Calgary,AB ,T2J 7C3,chiropractor
Precision Spinal Care,www.4032011954.yp.ca,,403-201-1954,101-51 Sunpark Drive Se,Calgary,AB ,T2X 3V4,chiropractor
Counterpoint Dance Academy Marda Loop,www.counterpointdance.com,,403-201-5519,Bsmt-3522 19 Street SW,Calgary,AB ,T2T 4X6,fitness
Calgary Tae Kwon Do Academy (West),www.calgarytkd.com,,403-201-5737,2711 17 Avenue Sw,Calgary,AB ,T3E 0A6,martial+arts
World Health Club,www.4032017677.yp.ca,,403-201-7677,21-240 Midpark Way SE,Calgary,AB ,T2X 1N4,fitness
National Sports Development,www.nsd365.com,info@nsd365.com,403-201-8788,7475 Flint Road Se,Calgary,AB ,T2H 1G3,fitness
5 Elements Martial Arts,www.4032018825.yp.ca,,403-201-8825,200-2577 Bridlecrest Way Sw,Calgary,AB ,T2Y 5J4,martial+arts
Bamboo Retreat Salon & Spa,www.4032019095.yp.ca,,403-201-9095,3141-150 Millrise Boulevard SW,Calgary,AB ,T2Y 5G7,spa
Curves For Women,www.4032019888.yp.ca,,403-201-9888,3217-150 Millrise Boulevard SW,Calgary,AB ,T2Y 5G7,fitness
Chaparral Chiropractic Family Wellness Centre,www.4032019991.yp.ca,,403-201-9991,206-10 Chaparral Drive SE,Calgary,AB ,T2X 3R7,chiropractor
Peaceful Warrior Martial Arts,www.4032020707.yp.ca,,403-202-0707,6-5720 Silver Springs Boulevard NW,Calgary,AB ,T3B 4N7,martial+arts
Valley Ridge Chiropractic & Wellness Centre,www.4032021114.yp.ca,,403-202-1114,325-11245 Valley Ridge Drive Nw,Calgary,AB ,T3B 5V4,chiropractor
Hummingbird Medi Spa Varsity,www.4032026160.yp.ca,,403-202-6160,205-4603 Varsity Drive Nw,Calgary,AB ,T3A 2V7,spa
Varsity Natural Health Center,www.4032028658.yp.ca,,403-202-8658,102-4616 Valiant Drive Nw,Calgary,AB ,T3A 0X9,yoga
Jacuzzi Premium Spas Of Calgary,www.4032028774.yp.ca,,403-202-8774,5111 Northland Drive NW,Calgary,AB ,T2L 2J8,spa
Eyewear Place Ltd,www.4032030064.yp.ca,,403-203-0064,346-8338 18 Street Se,Calgary,AB ,T2C 4E4,eye
Dynamic Health & Fitness,www.4032030322.yp.ca,,403-203-0322,2830 Glenmore Trail Se,Calgary,AB ,T2C 2E6,fitness
Club Del Sol Sands Day Spa & Tanning,www.4032033386.yp.ca,,403-203-3386,5 High Street SE,Calgary,AB ,T2Z 3T7,spa
Douglas Square Physiotherapy Center,www.4032037670.yp.ca,,403-203-7670,303A-11566 24 Street Se,Calgary,AB ,T2Z 3J3,physiotherapist
Revita Laser Center Salon & Spa,www.4032040003.yp.ca,,403-204-0003,14-140 East Chestermere Drive,Chestermere,AB ,T1X 1M1,spa
Full Potential Chiropractic,www.4032040084.yp.ca,,403-204-0084,11-5308 17 Avenue SW,Calgary,AB ,T3E 6S6,chiropractor
Canine Fitness Centre,www.4032040823.yp.ca,,403-204-0823,509 42 Avenue SE,Calgary,AB ,T2G 1Y7,fitness
