
Legato Centre,www.8002689499.yp.ca,,1-800-268-9499,203-1890 Cooper Road,Kelowna,BC ,V1Y 8B7,dentist
Queen Roy Dr,www.8006670169.yp.ca,,1-800-667-0169,403-321 Nicola Street,Kamloops,BC ,V2C 6G6,dentist
Babin Dentistry,www.8007312149.yp.ca,,1-800-731-2149,200-4460 Chatterton Way,Victoria,BC ,V8X 5J2,dentist
Ozcan K Dr,www.8666141828.yp.ca,,1-866-614-1828,4122 15th Avenue,Prince George,BC ,V2M 1V9,dentist
Collard Paul Dr,www.8775679226.yp.ca,,1-877-567-9226,140 W Victoria,Vanderhoof,BC ,V0J 3A0,dentist
Whistler Orthodontic Center,www.8885353028.yp.ca,,1-888-535-3028,216-4368 Main Street RR 4,Whistler,BC ,V0N 1B4,dentist
David Alexis D Dr,www.2502450677.yp.ca,,250-245-0677,32 Kitchener General Delivery,Ladysmith,BC ,V9G 1B9,dentist
Phelps Ken Dr,www.2502457151.yp.ca,,250-245-7151,27-370 Trans Canada Highway,Ladysmith,BC ,V9G 1T9,dentist
Guild Jim Dr,www.2502458515.yp.ca,,250-245-8515,225 High General Delivery,Ladysmith,BC ,V9G 1B9,dentist
Blaikie Holly Dr Inc,www.2502458558.yp.ca,,250-245-8558,225 High,Ladysmith,BC ,V9G 1A1,dentist
Megas Brian Dr,www.2502469921.yp.ca,,250-246-9921,2849 Oak Street RR 1,Chemainus,BC ,V0R 1K1,dentist
Murdoch Orthodontics,www.2502481130.yp.ca,,250-248-1130,Suite 3-102 Island Hwy E,Parksville,BC ,V9P 1T5,dentist
Sather Murray Dr,www.2502483265.yp.ca,,250-248-3265,Suite 202-156 Morison,Parksville,BC,,dentist
Dyck W G Dr,www.2502483731.yp.ca,,250-248-3731,124 Middleton,Parksville,BC,,dentist
Duke B E Dr,www.2502485131.yp.ca,,250-248-5131,131 Hirst Ave,Parksville,BC,,dentist
Beaudoin Louis R Dr,www.2502487088.yp.ca,,250-248-7088,Suite 202-154 Memorial Ave,Parksville,BC,,dentist
Doyle Kevin Dr Inc,www.2502488331.yp.ca,,250-248-8331,125 Hirst Ave E,Parksville,BC ,V9P 2H7,dentist
Lillooet Dental Clinic,www.2502564616.yp.ca,,250-256-4616,119 8th Ave,Lillooet,BC ,V0K 1V0,dentist
DeSandoli D Dr Inc,www.2502659993.yp.ca,,250-265-9993,86 Broadway,Nakusp,BC ,V0G 1R0,dentist
Gris J Dr Inc,www.2502853000.yp.ca,,250-285-3000,807 West Noble Rd,Quathiaski Cove,BC ,V0P 1N0,dentist
Krell John Dr Inc,www.2502860066.yp.ca,,250-286-0066,202-250 Dogwood Street,Campbell River,BC ,V9W 2X9,dentist
Woermke Bruce Dr,www.2502860088.yp.ca,,250-286-0088,97 S Island Highway,Campbell River,BC ,V9W 1A2,dentist
Shoreline Orthodontics,www.2502863901.yp.ca,,250-286-3901,200-520 2nd Avenue,Campbell River,BC ,V9W 6G2,dentist
Lawrence Mark Dr Inc,www.creativeortho.ca,drortho@island.net,250-286-6322,940 Island Highway,Campbell River,BC ,V9W 2C3,dentist
Finn Michael Dr Inc,www.2502874010.yp.ca,,250-287-4010,150 Dogwood Street,Campbell River,BC ,V9W 2X8,dentist
Sea Haven Dental Clinic,www.2502877343.yp.ca,,250-287-7343,201-871 Island Highway,Campbell River,BC ,V9W 2C2,dentist
Hornby John A Dr,www.2502879345.yp.ca,,250-287-9345,201-250 Dogwood Street,Campbell River,BC ,V9W 2X9,dentist
Cook Barry Dr Inc,www.2502956212.yp.ca,,250-295-6212,203 Vermilion,Princeton,BC ,V0X 1W0,dentist
Dodds Daniel R Dr Inc,www.2502957931.yp.ca,,250-295-7931,221 Vermilion,Princeton,BC ,V0X 1W0,dentist
Lawczynski Peter Dr Corp,www.2503042111.yp.ca,,250-304-2111,2220 Columbia Avenue,Castlegar,BC ,V1N 2X1,dentist
Murphy Tracey Dr,www.2503141234.yp.ca,,250-314-1234,101-629 Lansdowne Street,Kamloops,BC ,V2C 1Y6,dentist
Downtown Dental Clinic,www.2503141700.yp.ca,,250-314-1700,432 St Paul Street,Kamloops,BC ,V2C 2J6,dentist
Jennermann K Dr Inc,www.2503342225.yp.ca,,250-334-2225,453 Cumberland Road,Courtenay,BC ,V9N 2C5,dentist
Shaw-Wood Paul Dr,www.2503342411.yp.ca,,250-334-2411,460 6th Street,Courtenay,BC ,V9N 1M3,dentist
Riverway Dental,www.riverwaydental.com,,250-334-3356,101-1532 Cliffe Avenue,Courtenay,BC ,V9N 2K4,dentist
Gallagher James Dr,www.2503343431.yp.ca,,250-334-3431,200-2270 Cliffe Avenue,Courtenay,BC ,V9N 2L4,dentist
Shoreline Orthodontics,www.shorelineorthodontics.com,info@shorelineorthodontics.com,250-334-4434,100-1530 Cliffe Avenue,Courtenay,BC ,V9N 2K4,dentist
Cumberland Dental Centre,www.2503362006.yp.ca,,250-336-2006,2763 Dumsmuir,Cumberland,BC ,V0R 1S0,dentist
Peta Ron Dr,www.2503380809.yp.ca,,250-338-0809,Suite 12-204 N Island Hwy,Courtenay,BC ,V9N 3P3,dentist
Clancy Colleen Dr,www.2503382599.yp.ca,,250-338-2599,98-1742 Cliffe Avenue,Courtenay,BC ,V9N 2K8,dentist
Drs McCracken & Lo Inc,www.2503385011.yp.ca,,250-338-5011,389 12th Street,Courtenay,BC ,V9N 8V7,dentist
