
Tropical Pool & Spa Ltd,www.8004302848.yp.ca,,1-800-430-2848,1701 Central Street West,Prince George,BC ,V2N 1P6,spa
GE - Modular Space,www.8004513951.yp.ca,,1-800-451-3951,9171 Milwaukee Way,Prince George,BC ,V2N 5T3,spa
Insta-Space Storage Ltd,www.8004632267.yp.ca,,1-800-463-2267,9658 River Road,Delta,BC ,V4G 1B5,spa
Aquafun Family Pools & Spas Ltd,www.8004962611.yp.ca,,1-800-496-2611,5265 Trans Canada Highway,Duncan,BC ,V9L 5J2,spa
Hilton Whistler Resort & Spa,www.gotucovered.ca,,1-800-515-4050,4050 Whistler Way,Whistler,BC ,V0N 1B0,spa
Wedgewood Hotel & Spa,www.8006630666.yp.ca,,1-800-663-0666,845 Hornby St,Vancouver,BC ,V6Z 1T9,spa
Steel Span Inc,www.8006916066.yp.ca,,1-800-691-6066,12720 82 Avenue,Surrey,BC ,V3W 3G1,spa
Calais Spas & Billiards,www.8009913199.yp.ca,,1-800-991-3199,4000 Corunna Avenue,Nanaimo,BC ,V9T 1Y9,spa
Merle Norman Cosmetics & Insparations Day Spa,www.8665333393.yp.ca,,1-866-533-3393,9817 116 Avenue,Grande Prairie,AB ,T8V 4B4,spa
Pinnacle Lodge & Spa (Sun Peaks),www.8665787850.yp.ca,,1-866-578-7850,2503 Eagle Crt,Sun Peaks,BC,,spa
Naramata Heritage Inn & Spa,www.8666171188.yp.ca,,1-866-617-1188,3625 1st St,Naramata,BC ,V0H 1N0,spa
Harrison Hot Springs Resort & Spa,www.8667968880.yp.ca,,1-866-796-8880,100 Esplanade,Harrison Hot Springs,BC ,V0M 1K0,spa
Sparkle Pools,www.8668237219.yp.ca,,1-866-823-7219,42294 Highland Drive,Chilliwack,BC ,V2R 5H2,spa
Green Space,www.8668920149.yp.ca,,1-866-892-0149,136-5589 Byrne Road,Burnaby,BC ,V5J 3J1,spa
Spartan Refrigeration,www.8772227177.yp.ca,,1-877-222-7177,1055 Friesen Road,Kelowna,BC ,V1X 7N3,spa
Clear Balance Spa,www.8772751556.yp.ca,,1-877-275-1556,888 Sparkling Pl,Vernon,BC ,V1H 1T2,spa
Mountain Aerie Retreat & Day Spa,www.8775015005.yp.ca,,1-877-501-5005,401 Wilkie Way,Salt Spring Island,BC ,V8K 2J4,spa
Sundance Pool & Spa Ltd,www.8775497170.yp.ca,,1-877-549-7170,903 Kalamalka Lake Road,Vernon,BC ,V1T 6V4,spa
Paradise Pool & Spa,www.8777665772.yp.ca,,1-877-766-5772,2970 Highway Drive,Trail,BC ,V1R 2T3,spa
Avello Spa Ltd,www.8779357111.yp.ca,,1-877-935-7111,400-4090 Whistler Way RR 4,Whistler,BC ,V0N 1B4,spa
Mackie Naturals Salon & Spa,www.8882917791.yp.ca,,1-888-291-7791,7436 Grand Street,Mission,BC ,V2V 3S5,spa
Parklane Pool & Spa,www.8883728581.yp.ca,,1-888-372-8581,1388 Battle Street,Kamloops,BC ,V2C 2N8,spa
Sante Spa At Bear Mountain,www.8885332327.yp.ca,,1-888-533-2327,110-2800 Bryn Maur Road,Victoria,BC ,V9B 3T4,spa
Westin Resort & Spa,www.8886345577.yp.ca,,1-888-634-5577,4090 Whistler Way,Whistler,BC ,V0N 1B0,spa
Pacific Shores Resort & Spa,www.8886407799.yp.ca,,1-888-640-7799,1600 Stroulger Road,Nanoose Bay,BC ,V9P 9B7,spa
Inspired Spaces By Harbour Kitchens & More Inc,www.8886863535.yp.ca,,1-888-686-3535,1910 Cliffe Ave,Courtenay,BC ,V9N 2L1,spa
Sunshine Pools & Spas,www.8887978381.yp.ca,,1-888-797-8381,1940 Kirschner Road,Kelowna,BC ,V1Y 4N6,spa
Advantage Spas,www.8888072006.yp.ca,,1-888-807-2006,103-805 Notre Dame Drive,Kamloops,BC ,V2C 5N8,spa
Spark Design Web & Print,www.8888776223.yp.ca,,1-888-877-6223,3864 2 Ave,Smithers,BC ,V0J 2N0,spa
Flowering Tree Day Spa,www.2502100227.yp.ca,,250-210-0227,2873 Oak Street RR 1,Chemainus,BC ,V0R 1K1,spa
Bayside Pool & Spa,www.2502136434.yp.ca,,250-213-6434,707 Brookridge Place,Victoria,BC ,V8Z 3C1,spa
Wellness Spa The,www.2502151564.yp.ca,,250-215-1564,8-1471 Inkar Road,Kelowna,BC ,V1Y 8J1,spa
i day spa,www.2502189983.yp.ca,,250-218-9983,6-145 19th Street,Courtenay,BC ,V9N 9G2,spa
Tangles Salon & Spa,www.2502423130.yp.ca,,250-242-3130,210 Main,Tumbler Ridge,BC ,V0C 2W0,spa
Mystique Day Spa,www.2502452050.yp.ca,,250-245-2050,Suite 2D- 132 Roberts St,Ladysmith,BC ,V9G 1C6,spa
Flowering Tree Natural Spa The,www.2502464977.yp.ca,,250-246-4977,2863 Oak Street RR 1,Chemainus,BC ,V0R 1K1,spa
Grotto Spa At Tigh-Na-Mara The,www.2502481838.yp.ca,,250-248-1838,1155 Resort Drive,Parksville,BC ,V9P 2E5,spa
Nymark Hansen Salon & Day Spa,www.2502489497.yp.ca,,250-248-9497,421 Pioneer Crescent,Parksville,BC ,V9P 1V3,spa
Beyond Beauty Medi-Spa,www.2502601500.yp.ca,,250-260-1500,Suite 103-3131 29th St,Vernon,BC ,V1T 5J8,spa
Callidora Day Spa,www.2502639577.yp.ca,,250-263-9577,10504 96 Street,Fort St John,BC ,V1J 3R2,spa
Belle Shea Salon & Spa,www.2502639879.yp.ca,,250-263-9879,9512 93 Avenue,Fort St John,BC ,V1J 6T4,spa
Sparkling Hill Resort,www.2502751556.yp.ca,,250-275-1556,442 Tyler Place,Vernon,BC ,V1H 1Y4,spa
Essential Elements Day Spa,www.vernondayspa.com,,250-275-7060,3203 34 Street,Vernon,BC ,V1T 5X7,spa
Spa At April Point,www.2502852668.yp.ca,,250-285-2668,900 April Pt,Quadra Island,BC ,V0P 1N0,spa
Pier Street Salon & Day Spa,www.2502860485.yp.ca,,250-286-0485,916B Island Highway,Campbell River,BC ,V9W 2C3,spa
Painter's Lodge & April Point Resort & Spa,www.2502861102.yp.ca,,250-286-1102,1625 Macdonald Road,Campbell River,BC ,V9W 4S5,spa
Tangles Hair Salon & Day Spa,www.2502866291.yp.ca,,250-286-6291,986 Shoppers Row,Campbell River,BC ,V9W 2C5,spa
Aloha Spa & Salon,www.2502872333.yp.ca,,250-287-2333,1261 Ironwood Street,Campbell River,BC ,V9W 5T4,spa
Apex Mountain Inn & Spa The,www.2502928126.yp.ca,,250-292-8126,1000 Strayhorse,Hedley,BC ,V0X 1K0,spa
Maiya's European Spa,www.2502953640.yp.ca,,250-295-3640,408 Antonick Way,Princeton,BC ,V0X 1W0,spa
Spit-N-Polish Auto Spa,www.2502957155.yp.ca,,250-295-7155,263 Highway 3,Princeton,BC ,V0X 1W0,spa
Jealousy Hair Salon & Spa,www.2502957612.yp.ca,,250-295-7612,224 Bridge,Princeton,BC ,V0X 1W0,spa
Magic Nail & Spa,www.2502986747.yp.ca,,250-298-6747,B-843 Yates Street,Victoria,BC ,V8W 1M1,spa
Yantra Day Spa,www.2503047341.yp.ca,,250-304-7341,2109 Columbia Avenue,Castlegar,BC ,V1N 2W9,spa
Cobalt Spas,www.2503052380.yp.ca,,250-305-2380,101-383 Oliver Street,Williams Lake,BC ,V2G 1M4,spa
Heart & Sole Day Spa,www.2503071815.yp.ca,,250-307-1815,808 Fraser Road RR 7,Lumby,BC ,V0E 2G7,spa
Outward Expressions Spa,www.2503140151.yp.ca,,250-314-0151,Lwr-1540 Springhill Drive,Kamloops,BC ,V2E 2H1,spa
City Styl'n Day Spa,www.2503150422.yp.ca,,250-315-0422,1999 Voght St,Merritt,BC,,spa
Blush Salon & Spa,www.2503349854.yp.ca,,250-334-9854,273 5th Street,Courtenay,BC ,V9N 1J5,spa
Integral Balance Massage Therapy & Organic Day Spa,www.2503368284.yp.ca,,250-336-8284,2 2730 Dunsmuir,Cumberland,BC ,V0R 1S0,spa
Island Auto Spa,www.2503380674.yp.ca,,250-338-0674,748 Braidwood Road,Courtenay,BC ,V9N 3R9,spa
Paw Prints Spa,www.2503381078.yp.ca,,250-338-1078,463 5th Street,Courtenay,BC ,V9N 1J7,spa
Kingfisher Oceanside Resort & Spa,www.2503381323.yp.ca,,250-338-1323,4330 Island Highway South,Courtenay,BC ,V9N 9R9,spa
Comox Spa & Patio,www.2503388522.yp.ca,,250-338-8522,4911 Island Highway North,Courtenay,BC ,V9N 5Y9,spa
Extreme Ends Salon & Spa,www.2503388552.yp.ca,,250-338-8552,319A 4th Street,Courtenay,BC ,V9N 1G8,spa
Fusion Wellness Spa,www.2503413511.yp.ca,,250-341-3511,518 13th St,Invermere,BC ,V0A 1K0,spa
Pamper Yourself Spa,www.pamperyourselfspa.com,info@pamperyourselfspa.com,250-341-6266,492 93&95 Highway RR 2,Invermere,BC ,V0A 1K2,spa
Dynasty Spas,www.2503423922.yp.ca,,250-342-3922,503B 7th Ave,Invermere,BC ,V0A 1K4,spa
Freshair Design & Spa,www.2503426636.yp.ca,,250-342-6636,3- 505 7th Ave,Invermere,BC ,V0A 1K0,spa
Sunsations Massage Esthetics Hair Tanning & Day Spa,www.2503426899.yp.ca,,250-342-6899,913 13th St,Invermere,BC ,V0A 1K0,spa
Columbia Pool & Spa,www.2503444688.yp.ca,,250-344-4688,816 9th Street North RR 2,Golden,BC ,V0A 1H2,spa
Funky Dog Spa,www.2503446979.yp.ca,,250-344-6979,912 9th Street North RR 2,Golden,BC ,V0A 1H2,spa
Natural Springs Spa,www.fairmonthotsprings.com,,250-345-6311,5225 Fairmont Resort Road RR 1,Fairmont Hot Springs,BC ,V0B 1L1,spa
Pleiades Massage & Spa,www.2503472100.yp.ca,,250-347-2100,5420 Highway 93,Radium Hot Springs,BC ,V0A 1M0,spa
Bare Hands Day Spa At The Prestige,www.2503472121.yp.ca,,250-347-2121,7493 Main St West,Radium Hot Springs,BC ,V0A 1M0,spa
Rocky Mtn Pet Resort & Spa,www.2503479911.yp.ca,,250-347-9911,5343 Hewitt,Edgewater,BC ,V0A 1E0,spa
Araya Day Spa,www.2503520888.yp.ca,,250-352-0888,466 Josephine Street,Nelson,BC ,V1L 1W3,spa
