
Clear Balance Spa,www.8772751556.yp.ca,,1-877-275-1556,888 Sparkling Pl,Vernon,BC ,V1H 1T2,yoga
Inner Peace Yoga Pilates & Fitness Studio,www.2502193147.yp.ca,,250-219-3147,109B 10 St,Dawson Creek,BC,,yoga
Yasodhara Ashram Society,www.2502279224.yp.ca,,250-227-9224,PO Box 9,Kootenay Bay,BC ,V0B 1X0,yoga
Oceanside Yoga Centre,www.2502403075.yp.ca,,250-240-3075,5- 702 Memorial Ave,Qualicum Beach,BC ,V9K 1T2,yoga
Frazer Michelle,www.ahprmt.com,,250-271-5633,9624 111 Avenue,Fort St John,BC ,V1J 2T8,yoga
Movements Dance & Active Wear,www.2503140803.yp.ca,,250-314-0803,103-125 Fourth Avenue,Kamloops,BC ,V2C 3N3,yoga
Bikram Yoga Kamloops,www.2503143636.yp.ca,,250-314-3636,50-340 Victoria Street,Kamloops,BC ,V2C 2A5,yoga
Island of Peace Yoga,www.2503257221.yp.ca,,250-325-7221,535 North Rd,Gabriola,BC ,V0R 1X3,yoga
Bikram Yoga,www.2503381138.yp.ca,,250-338-1138,D-362 10th Street,Courtenay,BC ,V9N 1P5,yoga
Body Heart & Soul Yoga,www.2503384263.yp.ca,,250-338-4263,158B Cliffe Avenue,Courtenay,BC ,V9N 2H5,yoga
Shanti Yoga Studio,www.shantiyoga.ca,,250-352-7703,466 Josephine Street,Nelson,BC ,V1L 1W3,yoga
Powderhound The,www.2503625311.yp.ca,,250-362-5311,2040 Columbia,Rossland,BC ,V0G 1Y0,yoga
Kootenay-Columbia Therapeutics,www.2503641516.yp.ca,,250-364-1516,1686 Second Avenue,Trail,BC ,V1R 1M5,yoga
Let's Move,www.2503729642.yp.ca,,250-372-9642,925 McGill Place,Kamloops,BC ,V2C 6N9,yoga
Yoga With Colleen & Tyson,www.2503744383.yp.ca,,250-374-4383,205-635 Victoria Street,Kamloops,BC ,V2C 2B3,yoga
Scrivener Brian,www.2503749700.yp.ca,,250-374-9700,735 Victoria Street,Kamloops,BC ,V2C 2B5,yoga
Grand Pacific Athletic Club,www.2503804460.yp.ca,,250-380-4460,463 Belleville Street,Victoria,BC ,V8V 1X3,yoga
Ashtanga Yoga Shala The,www.2503833849.yp.ca,,250-383-3849,K-1322 Broad Street,Victoria,BC ,V8W 2A9,yoga
Moksana Yoga,www.2503852105.yp.ca,,250-385-2105,500-3 Fan Tan Alley,Victoria,BC ,V8W 3G9,yoga
