
Image Plus Laser Eye Centre,www.imageplus.ca,info@imageplus.ca,1-800-362-8711,1015 233 Kennedy St,Winnipeg,MB ,R3C 3J5,eye
Kashin Optometric Group (KOG Eyecare),www.8774439267.yp.ca,,1-877-443-9267,Lombard Concourse 1 Lombard,Winnipeg,MB,,eye
Westland Fasteners A Division Of Westland Steel Products Ltd,www.2042241654.yp.ca,,204-224-1654,165 Cordite Road,Winnipeg,MB ,R3W 1S1,eye
Eye Lab Optical,www.2042531313.yp.ca,,204-253-1313,1584 St Mary's Road,Winnipeg,MB ,R2M 3W4,eye
Eye Level Bike Rack Advertising,www.2042537225.yp.ca,,204-253-7225,157 St Anne's Road,Winnipeg,MB ,R2M 2Z5,eye
South Winnipeg Eye Centre,www.2042548011.yp.ca,,204-254-8011,5-1500 Dakota Street,Winnipeg,MB ,R2N 3Y7,eye
Livingstone Cam Dr,www.2042548857.yp.ca,,204-254-8857,1586 St Mary's Road,Winnipeg,MB ,R2M 3W4,eye
Blink Eyecare Ltd,www.2042573112.yp.ca,,204-257-3112,40 Lakewood Blvd,St Boniface,MB ,R2J 2M6,eye
Southdale Eye Centre,www.2042579990.yp.ca,,204-257-9990,120-115 Vermillion Road,Winnipeg,MB ,R2J 4A9,eye
Real Canadian Superstore Eyewear,www.2042582447.yp.ca,,204-258-2447,215 St Anne's Road,Winnipeg,MB ,R2M 2Z9,eye
Mrs Twitchett's Eye,www.2042617747.yp.ca,,204-261-7747,1739 Pembina Highway,Winnipeg,MB ,R3T 2G6,eye
Real Canadian Superstore Eyewear,www.2042754147.yp.ca,,204-275-4147,80 Bison Drive,Winnipeg,MB ,R3T 4Z7,eye
Fort Rouge Dental Group,www.fortrougedentalgroup.ca,,204-284-8216,566 Osborne Street,Winnipeg,MB ,R3L 2B4,eye
Grant Park Eye Clinic,www.2042848808.yp.ca,,204-284-8808,Grant Park Shopping Center,Winnipeg,MB ,R3M 2A6,eye
Moore Ross F Dr,www.2043258986.yp.ca,,204-325-8986,385 Mountain Av,Winkler,MB,,eye
Real Canadian Superstore Eyewear,www.2043312547.yp.ca,,204-331-2547,175 Cargill Rd,Winkler,MB,,eye
Special Eyes Vision Centres Inc,www.2043387867.yp.ca,,204-338-7867,620 Leila Avenue,Winnipeg,MB ,R2V 3N7,eye
Eye Opener Diner,www.2043396023.yp.ca,,204-339-6023,3132 Main Street,West St Paul,MB ,R2V 4R9,eye
Eyer Erin Dr,www.2044675521.yp.ca,,204-467-5521,Main St&Centre Av,Stonewall,MB ,R0C 2Z0,eye
Action Eyecare Incorporated,www.2044679795.yp.ca,,204-467-9795,2-358 Main St,Stonewall,MB ,R0C 2Z0,eye
Waverley Eye Care Centre,www.2044871901.yp.ca,,204-487-1901,1200 Waverley Street,Winnipeg,MB ,R3T 0P4,eye
Linden Ridge Eye Care,www.2044880156.yp.ca,,204-488-0156,K-1765 Kenaston Blvd,Winnipeg,MB ,R3Y 1V8,eye
Eyelet Dove,www.2044880403.yp.ca,,204-488-0403,400 Academy Road,Winnipeg,MB ,R3N 0B8,eye
European Skin Care Plus,www.2044881690.yp.ca,,204-488-1690,555 Academy Road,Winnipeg,MB ,R3N 0E4,eye
Maxin R Dr,www.2044882020.yp.ca,,204-488-2020,525 Academy Road,Winnipeg,MB ,R3N 2A9,eye
Academy Optical,www.2044882800.yp.ca,,204-488-2800,1-525 Academy Road,Winnipeg,MB ,R3N 2A9,eye
Eye Canada,www.2044899403.yp.ca,,204-489-9403,2-1200 Waverley Street,Winnipeg,MB ,R3T 0P4,eye
Henderson Vision Centre,www.2045822308.yp.ca,,204-582-2308,310-1695 Henderson Highway,Winnipeg,MB ,R2G 1P1,eye
Bright Eyes and Ears Films Inc,www.2045823700.yp.ca,,204-582-3700,1121 Manitoba Avenue,Winnipeg,MB ,R2X 0K6,eye
Ebony Eyes Hair & Beauty Salon,www.2045893937.yp.ca,,204-589-3937,562 Selkirk Avenue,Winnipeg,MB ,R2W 2M9,eye
Ashcroft R P Dr,www.2046383223.yp.ca,,204-638-3223,37 2nd Avenue NW,Dauphin,MB ,R7N 1H1,eye
Real Canadian Superstore Eyewear,www.2046545547.yp.ca,,204-654-5547,1578 Regent Avenue West,Winnipeg,MB ,R2C 3B4,eye
A & A Jewellers,www.2046613494.yp.ca,,204-661-3494,196 Henderson Highway,Winnipeg,MB ,R2L 1L8,eye
Studio 11 Inc,www.2046630013.yp.ca,,204-663-0013,49 Henderson Highway,Winnipeg,MB ,R2L 1K9,eye
Eagle Eye Photography,www.2046630180.yp.ca,,204-663-0180,534 Shalom,St Clements,MB ,R2C 2Z2,eye
Yale Robert Dr,www.2046682451.yp.ca,,204-668-2451,Kildonan Place Shopping Center,Winnipeg,MB ,R2C 4J2,eye
Pop N Eye Collectibles,www.2046692668.yp.ca,,204-669-2668,377 Henderson Highway,Winnipeg,MB ,R2K 2H2,eye
City Vision Opticians Inc,www.2046772020.yp.ca,,204-677-2020,33-50 Selkirk Avenue,Thompson,MB ,R8N 0M7,eye
Moore Specs,www.2046775551.yp.ca,,204-677-5551,27 Selkirk Avenue,Thompson,MB ,R8N 0M5,eye
Heuchert Lorna K Dr,www.2046875633.yp.ca,,204-687-5633,127 Main Street,Flin Flon,MB ,R8A 1J9,eye
Aiken Andrew Dr,www.2047250943.yp.ca,,204-725-0943,1502 9th Street,Brandon,MB ,R7A 4E1,eye
Salon Celsius Hair Stylists,www.2047251682.yp.ca,,204-725-1682,42 McTavish Avenue East,Brandon,MB ,R7A 2B2,eye
Eye Opener Book Store,www.2047273868.yp.ca,,204-727-3868,314 10th Street,Brandon,MB ,R7A 4G1,eye
Varsity Eye Centre,www.2047275438.yp.ca,,204-727-5438,335 18th Street,Brandon,MB ,R7A 5A8,eye
Bourassa Barbara L Dr/A Division Of Fyi Eye Doctors,www.2047283318.yp.ca,,204-728-3318,800 Rosser av,Brandon,MB ,R7A 4G9,eye
Cristall Opticians,www.2047298307.yp.ca,,204-729-8307,918 Rosser Avenue,Brandon,MB ,R7A 0L4,eye
Dornn Eye Care & Optical Gallery,www.2047752020.yp.ca,,204-775-2020,1847 Portage Avenue,Winnipeg,MB ,R3J 0G7,eye
Real Canadian Superstore Eyewear,www.2047847947.yp.ca,,204-784-7947,1385 Sargent Avenue,Winnipeg,MB ,R3E 3P8,eye
