
Fitness Experience,www.8007756032.yp.ca,,1-800-775-6032,640 King Edward Street,Winnipeg,MB ,R3H 0P2,fitness
Training Camp Fitness,www.2042242267.yp.ca,,204-224-2267,160-50 Lakewood Boulevard,Winnipeg,MB ,R2J 2M6,fitness
Iron Fist Tae Kwon Do,www.2042313633.yp.ca,,204-231-3633,675 Archibald Street,Winnipeg,MB ,R2J 0Y1,fitness
Pulse Fitness Systems Inc,www.2042350904.yp.ca,,204-235-0904,600 Mission Street,Winnipeg,MB ,R2J 0A2,fitness
Manitoba Fitness Council,www.2042351245.yp.ca,,204-235-1245,219 Provencher Boulevard,Winnipeg,MB ,R2H 0G4,fitness
Bae's Martial Arts Training Centre,www.2042537825.yp.ca,,204-253-7825,200-851 Lagimodiere Boulevard,Winnipeg,MB ,R2J 3K4,fitness
Fitness Edge For Women,www.2042556600.yp.ca,,204-255-6600,1645 St Mary's Road,Winnipeg,MB ,R2N 3W1,fitness
Definitive Fitness,www.2042562333.yp.ca,,204-256-2333,415 St Anne's Road,Winnipeg,MB ,R2M 3C4,fitness
Splitz,www.2042565619.yp.ca,,204-256-5619,43 Kingsway,Winnipeg,MB ,R3M 0G2,fitness
Hair Fitness,www.2042610099.yp.ca,,204-261-0099,1875 Pembina Highway,Winnipeg,MB ,R3T 2G7,fitness
Fitness Direct,www.2042691700.yp.ca,,204-269-1700,1-1921 Pembina Highway B,Winnipeg,MB ,R3T 2G7,fitness
Snap Fitness,www.2042750269.yp.ca,,204-275-0269,8-2835 Pembina Highway,Winnipeg,MB ,R3T 4Z8,fitness
Professional Edge Fitness & Conditioning,www.2042843343.yp.ca,,204-284-3343,16-5 Scurfield Boulevard,Winnipeg,MB ,R3Y 1G3,fitness
Heavenly Bodies Fitness Centre,www.2043393488.yp.ca,,204-339-3488,2146 Main Street,Winnipeg,MB ,R2V 3S5,fitness
Curves,www.2043462636.yp.ca,,204-346-2636,2-227 Main Street,Steinbach,MB ,R5G 1Y7,fitness
Snap Fitness,www.2044156337.yp.ca,,204-415-6337,591 St Anne's Road,Winnipeg,MB ,R2M 5A9,fitness
Evolution Fitness Nutrition,www.2044523285.yp.ca,,204-452-3285,B-702 Scotland Avenue,Winnipeg,MB ,R3M 1X5,fitness
Taoist Tai Chi Society,www.2044531349.yp.ca,,204-453-1349,1100 Pembina Highway,Winnipeg,MB ,R3T 1Z9,fitness
F 3 Fitness Fun Fashion,www.2044533334.yp.ca,,204-453-3334,3411 Roblin Boulevard,Winnipeg,MB ,R3R 0C6,fitness
Lift Fitness,www.2044537162.yp.ca,,204-453-7162,440 Don Avenue,Winnipeg,MB ,R3L 0S4,fitness
Stony Mountain Fitness,www.2044611777.yp.ca,,204-461-1777,7 Hwy,Stony Mountain,MB ,R0C 3A0,fitness
Ultimate Fitness,www.2044675221.yp.ca,,204-467-5221,469 1st St W,Stonewall,MB ,R0C 2Z0,fitness
Munduruca Martial Arts & Fitness Centre,www.2044740999.yp.ca,,204-474-0999,5-2 Donald Street,Winnipeg,MB ,R3L 0K5,fitness
Facial Fitness,www.2044759346.yp.ca,,204-475-9346,200-555 Hervo Street,Winnipeg,MB ,R3T 3L6,fitness
Rady Jewish Community Centre (Fitness),www.2044777510.yp.ca,,204-477-7510,Suite 100-123B Doncaster,Winnipeg,MB ,R3N 2B3,fitness
Goodlife Fitness Clubs,www.2044871449.yp.ca,,204-487-1449,143 Natureparkway,Tuxedo,MB,,fitness
Serratus Personal Training,www.2044874253.yp.ca,,204-487-4253,11-1700 Corydon Avenue,Winnipeg,MB ,R3N 0K1,fitness
Court Sports Fitness Club,www.2044883025.yp.ca,,204-488-3025,1400 Taylor Avenue,Winnipeg,MB ,R3N 1Y6,fitness
Xcel Sport & Fitness 4 Kids,www.2044884005.yp.ca,,204-488-4005,H-1765 Kenaston Blvd,Tuxedo,MB ,R3Y 1V8,fitness
Centre For Natural Medicine Of Manitoba,www.2044886528.yp.ca,,204-488-6528,1218 Lorette Avenue,Winnipeg,MB ,R3M 1W5,fitness
Focus Fitness & Conditioning Inc,www.2044886611.yp.ca,,204-488-6611,181 Stradbrook Avenue,Winnipeg,MB ,R3L 0J4,fitness
Impact Fitness Studio Ltd,www.2044887878.yp.ca,,204-488-7878,3-840 Waverley Street,Winnipeg,MB ,R3T 5Z7,fitness
Reh-Fit Centre,www.2044888023.yp.ca,,204-488-8023,1390 Taylor Avenue,Winnipeg,MB ,R3M 3V8,fitness
Effectus Athletic Development Ltd,www.2044897225.yp.ca,,204-489-7225,5-25 Scurfield Boulevard,Winnipeg,MB ,R3Y 1G4,fitness
Fitness Fanatics,www.2045347130.yp.ca,,204-534-7130,703 South Railway St,Boissevain,MB ,R0K 0E0,fitness
Fitness Fanatics,www.2045710772.yp.ca,,204-571-0772,601 9th Street,Brandon,MB ,R7A 4B3,fitness
Trans Canada Fitness,www.2045868005.yp.ca,,204-586-8005,413 McPhillips Street,Winnipeg,MB ,R2X 2Z8,fitness
Ladies Choice for Fitness,www.2046384898.yp.ca,,204-638-4898,216 Main Street North,Dauphin,MB ,R7N 1C4,fitness
Cutting Edge Athletic Supplies Inc,www.2046613343.yp.ca,,204-661-3343,935 Nairn Avenue,Winnipeg,MB ,R2L 0X9,fitness
Fitness City,www.2046613639.yp.ca,,204-661-3639,1199 Nairn Avenue,Winnipeg,MB ,R2L 0Y6,fitness
Fitness Direct,www.2046634681.yp.ca,,204-663-4681,14-1530 Regent Avenue West,Winnipeg,MB ,R2C 4J5,fitness
Chief Peguis Health & Fitness Centre,www.2046675653.yp.ca,,204-667-5653,1400 Rothesay Street,Winnipeg,MB ,R2G 1V2,fitness
Thompson Inn,www.2046772371.yp.ca,,204-677-2371,1 Public Road,Thompson,MB ,R8N 0M3,fitness
Goodlife Fitness Club,www.2046947795.yp.ca,,204-694-7795,17-2136 McPhillips Street,Winnipeg,MB ,R2V 3C8,fitness
Fitness Depot,www.2046948888.yp.ca,,204-694-8888,2-1349 Border Street,Winnipeg,MB ,R3H 0N1,fitness
Lylas Poulton Personal Training,www.2047251212.yp.ca,,204-725-1212,2-1502 Rosser Avenue,Brandon,MB ,R7A 0M6,fitness
Frederickson Performance Centre,www.2047269314.yp.ca,,204-726-9314,F-1212 18th Street,Brandon,MB ,R7A 5C3,fitness
Midwest Karate-Japan Karate Association,www.2047278625.yp.ca,,204-727-8625,114 Whillier Drive,Brandon,MB ,R7B 0X9,fitness
Morris Wellness Center,www.2047466029.yp.ca,,204-746-6029,380 Main St S,Morris,MB ,R0G 1K0,fitness
Fitness Resolution,www.2047481415.yp.ca,,204-748-1415,251 Nelson St W,Virden,MB ,R0M 2C0,fitness
Jays Inn & Suites,www.2047482223.yp.ca,,204-748-2223,320 Frontage Rd W,Virden,MB ,R0M 2C0,fitness
Core Action Fitness And Rehab,www.2047532653.yp.ca,,204-753-2653,S2 24 Aberdeen av,Pinawa,MB ,R0E 1L0,fitness
First Choice Fitness Ltd,www.2047720503.yp.ca,,204-772-0503,1133 Empress Street,Winnipeg,MB ,R3E 3H1,fitness
Provision Fitness,www.2047721900.yp.ca,,204-772-1900,53 Keewatin Street,Winnipeg,MB ,R3E 3C2,fitness
Goodlife Fitness Clubs,www.2047743717.yp.ca,,204-774-3717,1385 Sargent Avenue,Winnipeg,MB ,R3E 3P8,fitness
GOJO Fitness Centre,www.2047744624.yp.ca,,204-774-4624,936 Sherbrook Street,Winnipeg,MB ,R3A 1N2,fitness
Prairie Phoenix Martial Arts,www.2047757008.yp.ca,,204-775-7008,Suite 3-88 Sherbrook St,Winnipeg,MB ,R3C 2B3,fitness
Better Body Fitness,www.2047785533.yp.ca,,204-778-5533,73 Hayes Road,Thompson,MB ,R8N 1M3,fitness
Days Inn & Suites Thompson,www.2047786000.yp.ca,,204-778-6000,21 Thompson Drive North,Thompson,MB ,R8N 2B5,fitness
Laban Fitness,www.2047788181.yp.ca,,204-778-8181,6-50 Selkirk Avenue,Thompson,MB ,R8N 0M7,fitness
Commercial Fitness Supply Ltd,www.2047791155.yp.ca,,204-779-1155,600 Mission St,St Boniface,MB ,R2J 0A2,fitness
Advantage Conditioning,www.2047834567.yp.ca,,204-783-4567,1 B-2020 Portage Ave,Winnipeg,MB ,R3J 0K4,fitness
Superior Fitness Inc,www.2047851497.yp.ca,,204-785-1497,209A Superior Avenue,Selkirk,MB ,R1A 0Z7,fitness
Exercise Direct,www.2047866100.yp.ca,,204-786-6100,110-112 King Edward Street East,Winnipeg,MB ,R3H 0N8,fitness
Snap Fitness,www.2048377627.yp.ca,,204-837-7627,8-3900 Grant Avenue,Winnipeg,MB ,R3R 3C2,fitness
Pro-Fitness Training,www.2048850898.yp.ca,,204-885-0898,523 Harstone Road,Winnipeg,MB ,R3R 1C8,fitness
Body Options Ladies Fitness Centre,www.2048888889.yp.ca,,204-888-8889,3900 Grant Ave,Winnipeg,MB ,R3R 3C2,fitness
Image Fitness Centre,www.2048893009.yp.ca,,204-889-3009,2255G Ness Avenue,Winnipeg,MB ,R3J 0Z8,fitness
Park West Fitness,www.2048953488.yp.ca,,204-895-3488,2627 Portage Avenue,Winnipeg,MB ,R3J 0P7,fitness
Anytime Fitness,www.2048966135.yp.ca,,204-896-6135,2361 Ness Avenue,Winnipeg,MB ,R3J 1A5,fitness
ADD Centre Attention & Concentration Training,www.2048974493.yp.ca,,204-897-4493,701 Pembina Highway,Winnipeg,MB ,R3M 2L7,fitness
Pump Personal Training,www.2049189076.yp.ca,,204-918-9076,379 Bonner Avenue,Winnipeg,MB ,R2G 1B4,fitness
Roblin Fitness Club,www.2049378183.yp.ca,,204-937-8183,132 Main St NW,Roblin,MB ,R0L 1P0,fitness
Broadview Fitness 2000,www.2049428741.yp.ca,,204-942-8741,120 Donald St,Winnipeg,MB ,R3C 4G2,fitness
Kang's Academy,www.2049440261.yp.ca,,204-944-0261,845 King Edward Street,Winnipeg,MB ,R3H 0P8,fitness
In Motion Fitness Club,www.2049447234.yp.ca,,204-944-7234,350 St Mary Avenue,Winnipeg,MB ,R3C 3J2,fitness
CORE Training & Therapy,www.2049751555.yp.ca,,204-975-1555,107-912 Portage Avenue,Winnipeg,MB ,R3G 0P5,fitness
