
Genesport Industries Tatamis Ltd,www.8003616173.yp.ca,,1-800-361-6173,150,Rue King,Mon,ontreal,martial+arts
Iron Fist Tae Kwon Do,www.2042313633.yp.ca,,204-231-3633,675 Archibald Street,Winnipeg,MB ,R2J 0Y1,martial+arts
Bae's Martial Arts Training Centre,www.2042537825.yp.ca,,204-253-7825,200-851 Lagimodiere Boulevard,Winnipeg,MB ,R2J 3K4,martial+arts
Tactical Tae Kwondo,www.2042610174.yp.ca,,204-261-0174,3551 Pembina Highway,Winnipeg,MB ,R3V 1A5,martial+arts
Willim-Choi Martial Arts Centre,www.2042614279.yp.ca,,204-261-4279,244 Dalhousie Drive,Winnipeg,MB ,R3T 2Z1,martial+arts
Guardian Dojo-Kyokushin Karate,www.2042929639.yp.ca,,204-292-9639,200 River Avenue,Winnipeg,MB ,R3L 0B2,martial+arts
Choi's Martial Arts Centre,www.2043341212.yp.ca,,204-334-1212,840 McLeod Avenue,Winnipeg,MB ,R2G 2T7,martial+arts
Choi's Extreme Martial Arts,www.2043342464.yp.ca,,204-334-2464,620 Leila Avenue,Winnipeg,MB ,R2V 3N7,martial+arts
Pil Kim Martial Arts Centre,www.2043396881.yp.ca,,204-339-6881,2223 Henderson Highway,East St Paul,MB ,R2E 0B8,martial+arts
Taoist Tai Chi Society,www.2044531349.yp.ca,,204-453-1349,1100 Pembina Highway,Winnipeg,MB ,R3T 1Z9,martial+arts
Munduruca Martial Arts & Fitness Centre,www.2044740999.yp.ca,,204-474-0999,5-2 Donald Street,Winnipeg,MB ,R3L 0K5,martial+arts
Spirit Martial Arts Supplies,www.2044759141.yp.ca,,204-475-9141,282 Tache Avenue,Winnipeg,MB ,R2H 2A2,martial+arts
Tae Ryong Park Academy,www.trpacademy.com,,204-477-5425,95 Scurfield Boulevard,Winnipeg,MB ,R3Y 1G4,martial+arts
International Martial Arts Centre,www.2044889856.yp.ca,,204-488-9856,1688 St James Street,Winnipeg,MB ,R3H 0L3,martial+arts
Full Time Fighter,www.2045826621.yp.ca,,204-582-6621,1072 Main Street,Winnipeg,MB ,R2W 5J3,martial+arts
Dragon Muay Thai Kickboxing & Martial Arts,www.2045869555.yp.ca,,204-586-9555,330 Jarvis Avenue,Winnipeg,MB ,R2W 5L3,martial+arts
Northwest Martial Arts Academy,www.2046339102.yp.ca,,204-633-9102,1149 Keewatin Street,Winnipeg,MB ,R2X 2Z3,martial+arts
Kang's Taekwondo Academy,www.2046383265.yp.ca,,204-638-3265,201 Main Street North,Dauphin,MB ,R7N 1C3,martial+arts
Wushu Manitoba Training Centre,www.2046941018.yp.ca,,204-694-1018,41-360 Keewatin Street,Winnipeg,MB ,R2X 2Y3,martial+arts
T K Martial Arts,www.2046970277.yp.ca,,204-697-0277,1403 Church Avenue,Winnipeg,MB ,R2X 1G5,martial+arts
Kirin Taekwon-Do Club,www.2047245933.yp.ca,,204-724-5933,126 10th Street,Brandon,MB ,R7A 4E6,martial+arts
Midwest Karate-Japan Karate Association,www.2047278625.yp.ca,,204-727-8625,114 Whillier Drive,Brandon,MB ,R7B 0X9,martial+arts
Sikaran School Of Martial Arts,www.2047721561.yp.ca,,204-772-1561,80 Sherbrook Street,Winnipeg,MB ,R3C 2B3,martial+arts
Canadian Kickboxing & Muay Thai Centre,www.2047722599.yp.ca,,204-772-2599,349 Wardlaw Ave,Winnipeg,MB ,R3L 0L5,martial+arts
Sherbrook Gojo Gym,www.gojogym.com,,204-774-4624,936 Sherbrook Street,Winnipeg,MB ,R3A 1N2,martial+arts
Midwest Karate Traditional JKA,www.2047748828.yp.ca,,204-774-8828,902 Home Street,Winnipeg,MB ,R3E 2C8,martial+arts
Fehr-Krahn's Complete Tae Kwon Do,www.2048378667.yp.ca,,204-837-8667,1403 Church Ave,Winnipeg,MB ,R2X 1G5,martial+arts
Double Dragon Kickboxing-Muay Thai & TaeKwondo,www.2048858020.yp.ca,,204-885-8020,1845 Portage Avenue,Winnipeg,MB ,R3J 0G7,martial+arts
Robert Lee Martial Arts,www.2048885676.yp.ca,,204-888-5676,315 St Anne's Road,Winnipeg,MB ,R2M 3B1,martial+arts
Full Contact Sports Inc,www.2048899279.yp.ca,,204-889-9279,18-1391 St James Street,Winnipeg,MB ,R3H 0Z1,martial+arts
The Canada Tae Kwon Do Association Inc,www.2048899850.yp.ca,,204-889-9850,2653 Portage Avenue,Winnipeg,MB ,R3J 0P9,martial+arts
International Shotokan Karate Federation Of Manitoba,www.2048963354.yp.ca,,204-896-3354,5924 Roblin Boulevard,Winnipeg,MB ,R3R 0H3,martial+arts
Stringer Martial Arts Centre,www.2048965425.yp.ca,,204-896-5425,827 Cavalier Drive,Winnipeg,MB ,R2Y 1C6,martial+arts
T K A (MB Div),www.2048972900.yp.ca,,204-897-2900,30 Norlorne Drive,Winnipeg,MB ,R3R 2Y6,martial+arts
Meibukan Goju Karate Winnipeg/AWARE Personal Security & Self-Defence,www.2048974658.yp.ca,,204-897-4658,2577 Portage Avenue,Winnipeg,MB ,R3J 0P4,martial+arts
Tiger Claw Kung-Fu School,www.tigerclaw.ca,,204-942-4829,55 Arthur Street,Winnipeg,MB ,R3B 1H1,martial+arts
Kang's Academy,www.2049440261.yp.ca,,204-944-0261,845 King Edward Street,Winnipeg,MB ,R3H 0P8,martial+arts
