
Yoga Centre Winnipeg,www.2042229642.yp.ca,,204-222-9642,1065 Ellice Avenue,Winnipeg,MB ,R3G 0E1,yoga
Village Yoga,www.2042229645.yp.ca,,204-222-9645,106 Osborne Street,Winnipeg,MB ,R3L 1Y5,yoga
Holistic Therapist,www.2042296222.yp.ca,,204-229-6222,999 St Anne's Road,Winnipeg,MB ,R2N 4G5,yoga
A2K Fitworks,www.2042536184.yp.ca,,204-253-6184,47 Trafford Park,Winnipeg,MB ,R2M 4Z7,yoga
Splitz,www.2042565619.yp.ca,,204-256-5619,43 Kingsway,Winnipeg,MB ,R3M 0G2,yoga
Dharma Yoga,www.2042843360.yp.ca,,204-284-3360,301 Morley Avenue,Winnipeg,MB ,R3L 0Y4,yoga
Yoga On Corydon,www.2042848877.yp.ca,,204-284-8877,1115 Corydon Avenue,Winnipeg,MB ,R3M 0X4,yoga
Bluemoon Wellness Center,www.2042878978.yp.ca,,204-287-8978,684 Osborne Street,Winnipeg,MB ,R3L 2B9,yoga
Bhakti Yoga Studio,www.2044154344.yp.ca,,204-415-4344,288 Marion Street,Winnipeg,MB ,R2H 0T7,yoga
SooZe Yoga,www.2044445621.yp.ca,,204-444-5621,203-449 Main Street RR 2,Oakbank,MB ,R0E 1J2,yoga
Moksha Yoga Winnipeg,www.2044525535.yp.ca,,204-452-5535,7-2 Donald Street,Winnipeg,MB ,R3L 0K5,yoga
Stafford Street Hot Yoga,www.2044527412.yp.ca,,204-452-7412,677 Stafford Street,Winnipeg,MB ,R3M 2X7,yoga
Siddha Yoga Meditation Centre Winnipeg,www.2044778390.yp.ca,,204-477-8390,1820 Arlington Street,Winnipeg,MB ,R2X 1W4,yoga
Reh-Fit Centre,www.2044888023.yp.ca,,204-488-8023,1390 Taylor Avenue,Winnipeg,MB ,R3M 3V8,yoga
Kowaluk Shelley,www.2046389642.yp.ca,,204-638-9642,139 2nd Avenue Ne,Dauphin,MB ,R7N 0Z6,yoga
Linda Toews Returnative Therapies,www.2046779112.yp.ca,,204-677-9112,1223 Ospwagon Drive,Thompson,MB ,R8N 1R3,yoga
Source Yoga Studios,www.2047752871.yp.ca,,204-775-2871,213 1/2 Osborne Street,Winnipeg,MB ,R3L 1Z4,yoga
Yoga North,www.2047796895.yp.ca,,204-779-6895,109 Pulford Street,Winnipeg,MB ,R3L 1X8,yoga
Hot Yoga Winnipeg,www.2047799642.yp.ca,,204-779-9642,202-301 Nassau Street North,Winnipeg,MB ,R3L 2J5,yoga
Prana Yoga Studio,www.2047849471.yp.ca,,204-784-9471,201-987 Portage Avenue,Winnipeg,MB ,R3G 0R7,yoga
Exercise Direct,www.exercisedirect.com,,204-786-6100,870 Century Street,Winnipeg,MB ,R3H 0M5,yoga
Birth Roots Doula Collective,www.birthrootsdoulas.com,info@birthrootsdoulas.com,204-792-6769,206-83 Sherbrook Street,Winnipeg,MB ,R3C 2B2,yoga
Forget Me Not Day Spa,www.2048317940.yp.ca,,204-831-7940,3073 Ness Avenue,Winnipeg,MB ,R2Y 2G3,yoga
Bikram Yoga Winnipeg,www.2049448313.yp.ca,,204-944-8313,374 Donald Street,Winnipeg,MB ,R3B 2J2,yoga
