De Vita Elsie Dr,www.elsiedevita.com,1elsie@telus.net,604-874-8528,509-402 Pender Street West,Vancouver,BC ,V6B 1T6
Art Of Dentistry,www.artofdentistry.com,20info@artofdentistry.com,416-927-7677,25 Bellair Street,Toronto,ON ,M5R 3L3
Edmonton Foot Health Centre,www.edmontonfoothealthcenter.com,2laup@telus.net,780-474-3338,12211 97 Street Nw,Edmonton,AB ,T5G 1Z2
Jesin Aaron Physician & Mohel,www.drjesin.com,aaron@drjesin.com,416-635-5012,203-4256 Bathurst Street,North York,ON ,M3H 5Y8
O'Mahony Justin R Dr,www.dr-om.com,abbypsychol@paralynx.com,604-807-5546,South Fraser Way,Abbotsford,BC ,V2S 2B4
Absolute Muscle Therapeutic Massage Clinic,www.absolutemuscle.ca,abmuscle@golden.net,519-747-9091,262 King Street North,Waterloo,ON ,N2J 2Y9
Aberdeen Chiropractic Clinic,www.acckamloops.ca,acckamloops@gmail.com,250-372-2002,205-1150 Hillside Drive,Kamloops,BC ,V2E 2N1
Acne & Skin Care Clinic,www.acnedocs.com,acnedocs@yahoo.com,519-725-2263,10-65 University Avenue East,Waterloo,ON ,N2J 2V9
Acton Veterinary Clinic,www.actonvet.com,actonvet@actonvet.com,519-853-1450,10 River Street,Acton,ON ,L7J 1C1
Callander Lakeside Medical Clinic,www.callander.ca,adeohealthcare@yahoo.ca,705-752-1004,299 Main N,Callander,ON ,P0H 1H0
Roper Chris Dr,www.drchrisroper.com,admin-drroper@unserve.com,250-923-9363,201-2276 South Island Highway,Campbell River,BC ,V9W 1C3
Bentley Wellington Dr,www.barrievisioncentre.com,admin@barrievisioncentre.com,705-737-5858,221 Cundles Road East,Barrie,ON ,L4M 6L5
Choice Chiropractic,www.choicehealthcentre.com,admin@choicehealthcentre.com,902-404-3668,99 Main Street,Dartmouth,NS ,B2X 1R4
Dr Bishop & Associates,www.drbishop.com,admin@drbishop.com,403-974-3937,Southcentre Mall Marlborough Mall Northland Village Mall,Calgary,AB ,T2A 2K2
Stepaniuk Holly Dr,www.drholly.ca,admin@drholly.ca,604-936-9290,223-1024 Ridgeway Avenue,Coquitlam,BC ,V3J 1S5
Marlborough Dental,www.mdconline.ca,admin@mdconline.ca,403-248-5441,1141-3800 Memorial Drive NE,Calgary,AB ,T2A 2K2
OMI Medical Inc,www.omihair.com,admin@omihair.com,416-223-5500,2 Sheppard Avenue East,North York,ON ,M2N 5Y7
Acupuncture Shiatsu Clinic,www.acupunctureshiatsu.ca,admin@shiatsuontario.org,416-763-0949,2323 Bloor Street West,Toronto,ON ,M6S 4W1
Summit Dentistry,www.summitdentistry.net,admin@summitdentistry.net,902-832-4646,30 Damascus Road,Bedford,NS ,B4A 0C1
Tall Pines Dental Centre,www.tallpinesdental.com,admin@tallpinesdental.com,519-748-4532,10 Pioneer Drive,Kitchener,ON ,N2P 2A4
East Toronto Orthopaedic & Sports Injury Clinic Inc,www.easttorontophysiotherapy.com,admin1@easttorontophysiotherapy.com,416-691-3943,1577 Danforth Avenue,Toronto,ON ,M4C 1H7
Park Place Chiropractic Clinic,www.parkplacechiropractic.net,administrator@parkplacechiropractic.net,604-646-6699,7B-666 Burrard Street,Vancouver,BC ,V6C 2X8
Advance Audiology,www.advanceaudiology.ca,advanceaudiology@telus.net,403-259-4327,A303-1600 90 Avenue Sw,Calgary,AB ,T2V 5A8
Advanced Technique Denture Centre Ltd,www.atdenturecentre.ca,advancedtechnique@telus.net,403-320-5722,3232 Fairway Street South,Lethbridge,AB ,T1K 8A3
Animal Emergency Clinic Of The Fraser Valley,www.animalemerg.com,aecfv@telus.net,604-514-1711,306-6325 204 Street,Langley,BC ,V2Y 3B3
Animal Hospital Of Cambridge,www.animalhospitalofcambridge.com,ah2@bellnet.ca,519-624-9760,600 Hespeler Road,Cambridge,ON ,N1R 8H2
Ahpin Dental Centre,www.ahpindental.com,ahpindental@telus.net,780-962-3414,306 McLeod Ave,Spruce Grove,AB ,T7X 3A9
Cohen Warren Dr,www.cohen-braces.com,ajax@cohen-braces.com,905-427-3223,103 Old Kingston Road,Ajax,ON ,L1T 3A6
Ajax Animal Hospital,www.ajaxanimalhospital.com,ajaxanimalhospital@on.aibn.com,905-683-6430,369 Finley Avenue,Ajax,ON ,L1S 2E2
Kovacik Allan Dr,www.kovacikdental.com,akovacik@kovacikdental.com,403-282-9161,1140 Northmount Drive Nw,Calgary,AB ,T2L 0C4
