Legato Centre,www.8002689499.yp.ca,,1-800-268-9499,203-1890 Cooper Road,Kelowna,BC ,V1Y 8B7,dentist
London Eye Centre,www.lasereye.com,info@lasereye.com,1-800-395-7483,918 Twelfth St,New Westminster,BC ,V3M 6B1,eye
Aloyd Fitness Equipment,www.8003991233.yp.ca,,1-800-399-1233,6750 Island Highway North,Nanaimo,BC ,V9V 1S3,fitness
Tropical Pool & Spa,www.8004302848.yp.ca,,1-800-430-2848,1701 Central Street West,Prince George,BC ,V2N 1P6,spa
Aquafun Family Pools & Spas,www.8004962611.yp.ca,,1-800-496-2611,5265 Trans Canada Highway,Duncan,BC ,V9L 5J2,spa
Hilton Whistler Resort & Spa,www.gotucovered.ca,,1-800-515-4050,4050 Whistler Way,Whistler,BC ,V0N 1B0,spa
Rocky Mountain Fitness Stores,www.8006614360.yp.ca,,1-800-661-4360,130-1876 Cooper Road,Kelowna,BC ,V1Y 9N6,fitness
Advantage Fitness Warehouse Rentals & Sales,www.8006614737.yp.ca,,1-800-661-4737,101-890 Crace Street,Nanaimo,BC ,V9R 2T3,fitness
F E S Fitness Equipment Specialists,www.8007309702.yp.ca,,1-800-730-9702,1931 W 4th,Vancouver,BC,,fitness
Babin Dentistry,www.8007312149.yp.ca,,1-800-731-2149,200-4460 Chatterton Way,Victoria,BC ,V8X 5J2,dentist
Calais Spas & Billiards,www.8009913199.yp.ca,,1-800-991-3199,4000 Corunna Avenue,Nanaimo,BC ,V9T 1Y9,spa
Merle Norman Cosmetics & Insparations Day Spa,www.8665333393.yp.ca,,1-866-533-3393,9817 116 Avenue,Grande Prairie,AB ,T8V 4B4,spa
Pinnacle Lodge & Spa (Sun Peaks),www.8665787850.yp.ca,,1-866-578-7850,2503 Eagle Crt,Sun Peaks,BC,,spa
Naramata Heritage Inn & Spa,www.8666171188.yp.ca,,1-866-617-1188,3625 1st St,Naramata,BC ,V0H 1N0,spa
Coal Harbour Lasik Eye Centre,www.8666824900.yp.ca,,1-866-682-4900,1177 Hastings Street West,Vancouver,BC ,V6E 2K3,eye
Fitness AV,www.8666969006.yp.ca,,1-866-696-9006,302-1300 Richards Street,Vancouver,BC ,V6B 3G6,fitness
Coastal Eye Care Centres,www.8667792020.yp.ca,,1-866-779-2020,340 11th Street,Courtenay,BC ,V9N 8H5,eye
Harrison Hot Springs Resort & Spa,www.8667968880.yp.ca,,1-866-796-8880,100 Esplanade,Harrison Hot Springs,BC ,V0M 1K0,spa
Sparkle Pools,www.8668237219.yp.ca,,1-866-823-7219,42294 Highland Drive,Chilliwack,BC ,V2R 5H2,spa
Acupuncture and Chinese Medicine Centre,www.8668355856.yp.ca,,1-866-835-5856,107-2469 Montrose Avenue,Abbotsford,BC ,V2S 3T2,acupuncture
Spartan Refrigeration,www.8772227177.yp.ca,,1-877-222-7177,1055 Friesen Road,Kelowna,BC ,V1X 7N3,spa
Clear Balance Spa,www.8772751556.yp.ca,,1-877-275-1556,888 Sparkling Pl,Vernon,BC ,V1H 1T2,spa
Mountain Aerie Retreat & Day Spa,www.8775015005.yp.ca,,1-877-501-5005,401 Wilkie Way,Salt Spring Island,BC ,V8K 2J4,spa
Sundance Pool & Spa,www.8775497170.yp.ca,,1-877-549-7170,903 Kalamalka Lake Road,Vernon,BC ,V1T 6V4,spa
Soma Group Somatics Massage & Rehabilitation,www.8776628646.yp.ca,,1-877-662-8646,370 Campbell Road,Duncan,BC ,V9L 3H8,fitness
Icon Laser Eye Centers,www.8777334266.yp.ca,,1-877-733-4266,1308 8th Avenue West,Vancouver,BC ,V6H 4A6,eye
Paradise Pool & Spa,www.8777665772.yp.ca,,1-877-766-5772,2970 Highway Drive,Trail,BC ,V1R 2T3,spa
Mackie Naturals Salon & Spa,www.8882917791.yp.ca,,1-888-291-7791,7436 Grand Street,Mission,BC ,V2V 3S5,spa
Parklane Pool & Spa,www.8883728581.yp.ca,,1-888-372-8581,1388 Battle Street,Kamloops,BC ,V2C 2N8,spa
Sante Spa At Bear Mountain,www.8885332327.yp.ca,,1-888-533-2327,110-2800 Bryn Maur Road,Victoria,BC ,V9B 3T4,spa
Whistler Orthodontic Center,www.8885353028.yp.ca,,1-888-535-3028,216-4368 Main Street RR 4,Whistler,BC ,V0N 1B4,dentist
Westin Resort & Spa,www.8886345577.yp.ca,,1-888-634-5577,4090 Whistler Way,Whistler,BC ,V0N 1B0,spa
Pacific Shores Resort & Spa,www.8886407799.yp.ca,,1-888-640-7799,1600 Stroulger Road,Nanoose Bay,BC ,V9P 9B7,spa
Inspired Spaces By Harbour Kitchens & More,www.8886863535.yp.ca,,1-888-686-3535,1910 Cliffe Ave,Courtenay,BC ,V9N 2L1,spa
Bushido Martial Arts Supplies,www.8887757766.yp.ca,,1-888-775-7766,3-9670 188 Street,Surrey,BC ,V4N 3M2,martial+arts
Eyes International,www.8887773937.yp.ca,,1-888-777-3937,331 Victoria,Kamloops,BC ,V2C 1E4,eye
Sunshine Pools & Spas,www.8887978381.yp.ca,,1-888-797-8381,1940 Kirschner Road,Kelowna,BC ,V1Y 4N6,spa
Advantage Spas,www.8888072006.yp.ca,,1-888-807-2006,103-805 Notre Dame Drive,Kamloops,BC ,V2C 5N8,spa
Valley Laser Eye Centre,www.valleylasereyecentre.com,info@vlec.ca,1-888-977-3937,102 2545 McCallum Rd,Abbotsford,BC ,V2S 3R1,eye
Performance Pilates,www.2502042942.yp.ca,,250-204-2942,1003 Tyee Plaza,Campbell River,BC,,fitness
Flowering Tree Day Spa,www.2502100227.yp.ca,,250-210-0227,2873 Oak Street RR 1,Chemainus,BC ,V0R 1K1,spa
Bayside Pool & Spa,www.2502136434.yp.ca,,250-213-6434,707 Brookridge Place,Victoria,BC ,V8Z 3C1,spa
Wellness Spa,www.2502151564.yp.ca,,250-215-1564,8-1471 Inkar Road,Kelowna,BC ,V1Y 8J1,spa
Perfection 500 Fitness,www.2502151609.yp.ca,,250-215-1609,106-2395 Gordon Drive,Kelowna,BC ,V1W 3X7,fitness
Green Spirit Acupuncture,www.2502182618.yp.ca,,250-218-2618,2781 Dunsmuir Ave,Cumberland,BC ,V0R 1S0,acupuncture
i day spa,www.2502189983.yp.ca,,250-218-9983,6-145 19th Street,Courtenay,BC ,V9N 9G2,spa
Inner Peace Yoga Pilates & Fitness Studio,www.2502193147.yp.ca,,250-219-3147,109B 10 St,Dawson Creek,BC,,yoga
Winlaw Acupuncture Clinic,www.2502267794.yp.ca,,250-226-7794,6 5686 Hwy 6,Winlaw,BC ,V0G 2J0,acupuncture
Shima Karate School,www.2502401461.yp.ca,,250-240-1461,132 Jensen Avenue West,Parksville,BC ,V9P 1L9,martial+arts
Oceanside Yoga Centre,www.2502403075.yp.ca,,250-240-3075,5- 702 Memorial Ave,Qualicum Beach,BC ,V9K 1T2,yoga
Tangles Salon & Spa,www.2502423130.yp.ca,,250-242-3130,210 Main,Tumbler Ridge,BC ,V0C 2W0,spa
Tumbler Ridge Community Centre,www.2502424246.yp.ca,,250-242-4246,340 Front,Tumbler Ridge,BC ,V0C 2W0,fitness
Mystique Day Spa,www.2502452050.yp.ca,,250-245-2050,Suite 2D- 132 Roberts St,Ladysmith,BC ,V9G 1C6,spa
Olympic Physiotherapy,www.2502453066.yp.ca,,250-245-3066,Suite 103-524 2nd Ave,Ladysmith,BC,,physiotherapist
Page Point Acupuncture & Traditional Therapy Clinic,www.2502453382.yp.ca,,250-245-3382,4746 Shell Beach Road,Ladysmith,BC ,V9G 1L7,acupuncture
Ladysmith Physiotherapy Clinic,www.2502453616.yp.ca,,250-245-3616,Suite 9-32 High,Ladysmith,BC,,physiotherapist
Curves Ladysmith,www.2502454460.yp.ca,,250-245-4460,23 High General Delivery,Ladysmith,BC ,V9G 1B9,fitness
Outreach Martial Arts School,www.2502454854.yp.ca,,250-245-4854,Bayview Po Box 205,Ladysmith,BC ,V9G 1A2,martial+arts
Joint Venture Physiotherapy,www.2502455660.yp.ca,,250-245-5660,810 6th Ave,Ladysmith,BC,,physiotherapist
VisionArts Eyecare Centre,www.visionarts.ca,,250-245-8203,Suite 2-225 High,Ladysmith,BC ,V9G 1A8,eye
Chemainus Family Eyecare,www.2502463405.yp.ca,,250-246-3405,Suite 105-9844 Croft,Chemainus,BC,,eye
Dares Danny,www.2502464011.yp.ca,,250-246-4011,9836 Willow St,Chemainus,BC ,V0R 1K1,chiropractor
