"02 Plus Hyperbaric Oxygen Clinic Therapy","604-538-2509","35-1480 Foster Street , White Rock , BC V4B 3X7","www.6045382509.yp.ca",,clinic
"100 Mile House Hearing Clinic","250-395-3251","165 Cedar Ave , 100 Mile House , BC V0K 2E0","www.2503953251.yp.ca",,clinic
"100 Mile House Hearing Clinic","250-395-3200","","www.2503953200.yp.ca",,clinic
"1-1 Acupuncture Clinic","604-879-9686","204-190 48th Avenue East , Vancouver , BC V5W 2C8","www.6048799686.yp.ca",,clinic
"19th Street Physiotherapy Clinic","604-988-5221","224 19th Street West , North Vancouver , BC V7M 1X5","www.6049885221.yp.ca",,clinic
"2nd Avenue Medical Clinic","250-624-5500","330 2nd Avenue West , Prince Rupert , BC V8J 1G6","www.2506245500.yp.ca",,clinic
"2nd Avenue Medical Clinic","250-624-5500","","www.2506245500.yp.ca",,clinic
"2nd Avenue Medical Clinic","250-624-5500","","www.2506245500.yp.ca",,clinic
"2nd Avenue Medical Clinic","250-624-5500","","www.2506245500.yp.ca",,clinic
"2nd Avenue Medical Clinic","250-624-5500","","www.2506245500.yp.ca",,clinic
"2nd Avenue Medical Clinic","250-624-5500","","www.2506245500.yp.ca",,clinic
"2nd Avenue Medical Clinic","250-624-5500","330 2nd Avenue West , Prince Rupert , BC V8J 1G6","www.2506245500.yp.ca",,clinic
"2nd Avenue Medical Clinic","250-624-4797","","www.2506244797.yp.ca",,clinic
"360 Well-Being Integrative Clinic Inc","604-739-1815","403-2150 Broadway West , Vancouver , BC V6K 4L9","www.6047391815.yp.ca",,clinic
"360 Well-Being Integrative Clinic Inc","604-739-1877","","www.6047391877.yp.ca",,clinic
"393235 B C Ltd","604-436-0691","4980 Kingsway , Burnaby , BC V5H 4K7","www.6044360691.yp.ca",,clinic
"5th Ave Therapeutic Massage Clinic","604-540-2055","402-625 Fifth Avenue , New Westminster , BC V3M 1X4","www.6045402055.yp.ca",,clinic
"7 Oaks Laser Dental Centre","604-870-9838","328-32900 South Fraser Way , Abbotsford , BC V2S 5A1","www.6048709838.yp.ca",,clinic
"AAA Acupuncture","604-598-9529","203-8434 120 Street , Surrey , BC V3W 7S2","www.aaaacupunctureclinic.com",,clinic
"Aaargon Dental Centre","604-464-7333","1134-2929 Barnet Highway , Coquitlam , BC V3B 5R5","www.6044647333.yp.ca",,clinic
"AAA Transmission Clinic","604-590-7040","101-13423 78 Avenue , Surrey , BC V3W 0A8","www.6045907040.yp.ca",,clinic
"AA Auto Diagnostic Clinic","604-596-9450","","www.6045969450.yp.ca",,clinic
"A & A Dental Centre","604-255-4001","1288 Commercial Drive , Vancouver , BC V5L 3X4","www.6042554001.yp.ca",,clinic
"Aaron Hsu's Acupuncture & Herb Clinic","604-437-8883","4651 Portland Street , Burnaby , BC V5J 2P1","www.6044378883.yp.ca",,clinic
"Abacus Dental Centre","250-386-3044","14-1153 Esquimalt Road , Victoria , BC V9A 3N7","www.2503863044.yp.ca",,clinic
"Abba Dental Clinic","604-688-7201","603-1160 Burrard Street , Vancouver , BC V6Z 2E8","www.6046887201.yp.ca",,clinic
"Abbey Eye Doctors","604-864-8038","120-31935 South Fraser Way , Abbotsford , BC V2T 5N7","www.6048648038.yp.ca",,clinic
"Abbotsford Hearing Clinic","604-850-0277","203-2975 Gladwin Road , Abbotsford , BC V2T 5T4","www.6048500277.yp.ca",,clinic
"Abbotsford Hearing Clinic","604-850-7019","","www.6048507019.yp.ca",,clinic
"Abbotsford Regional Hospital","604-851-4778","","www.6048514778.yp.ca",,clinic
"Atwood Medical Clinic","250-398-6724","","www.2503986724.yp.ca",,clinic
"Atwood Medical Clinic","250-398-6724","","www.2503986724.yp.ca",,clinic
"Atwood Medical Clinic","250-398-6724","","www.2503986724.yp.ca",,clinic
"Atwood Medical Clinic","250-398-5673","","www.2503985673.yp.ca",,clinic
"Atwood Medical Clinic","250-398-8319","","www.2503988319.yp.ca",,clinic
"Aurora Massage Therapy Clinic","604-734-4030","210-2233 Burrard Street , Vancouver , BC V6J 3H9","www.amtc.ca",,clinic
"Austin Avenue Therapeutic Massage Clinic","604-931-2433","203-1046 Austin Avenue , Coquitlam , BC V3K 3P3","www.6049312433.yp.ca",,clinic
"Austin Denture Clinic","604-939-1313","230-1140 Austin Avenue , Coquitlam , BC V3K 3P5","www.6049391313.yp.ca",,clinic
"Austin Heights Optometry Clinic","604-936-2400","I-1001 Austin Avenue , Coquitlam , BC V3K 3N9","www.6049362400.yp.ca",,clinic
"Auto Clinic The","604-533-3376","2-20475 62 Avenue , Langley , BC V3A 5E6","www.6045333376.yp.ca",,clinic
"Auto Clinic The","604-533-9376","","www.6045339376.yp.ca",,clinic
"Avalon Medical Clinic Ltd","604-530-2374","102-4769 222 Street , Langley , BC V2Z 3C1","www.6045302374.yp.ca",,clinic
"Avecina Medical Clinic","604-539-1755","","www.6045391755.yp.ca",,clinic
"Avecina Medical Clinic","604-539-1744","101-20644 Fraser Highway , Langley , BC V3A 4G5","www.6045391744.yp.ca",,clinic
"Avery Health Clinic The","250-992-8322","644 Front , Quesnel , BC V2J 2K8","www.2509928322.yp.ca",,clinic
"Avery Health Clinic The","250-992-8321","644 Front Street , Quesnel , BC V2J 2K8","www.2509928321.yp.ca",,clinic
"Avery Health Clinic The","250-992-1563","","www.2509921563.yp.ca",,clinic
"Avonlea Dental Clinic","250-756-1441","5287 Rutherford Road , Nanaimo , BC V9T 5N9","www.2507561441.yp.ca",,clinic
"Avonlea Dental Clinic","250-756-1441","5941 Nelson Road , Nanaimo , BC V9T 6P6","www.2507561441.yp.ca",,clinic
"A Women's Choice Clinic","509-575-6422","106 East E Street , Yakima ","www.5095756422.yp.ca",,clinic
"Back 2 Health Chiropractic Clinic","604-742-0111","450-2184 Broadway West , Vancouver , BC V6K 2E1","www.back2health.ca",,clinic
"Back 2 Health Chiropractic Clinic","604-739-5552","","www.6047395552.yp.ca",,clinic
"Back To Balance Massage Therapy Clinic","250-380-0443","1321 Cook Street , Victoria , BC V8V 4A3","www.2503800443.yp.ca",,clinic
"Back To Health Clinic","250-477-9500","","www.2504779500.yp.ca",,clinic
"Back to Health Massage & Manual Lymph Drainage Clinic","604-273-2996","420-9100 Blundell Road , Richmond , BC V6Y 3X9","www.6042732996.yp.ca",,clinic
"Backworks Chiropractic Clinic","250-339-1148","1782D Comox Avenue , Comox , BC V9M 3M8","www.2503391148.yp.ca",,clinic
"Badesha Navi Dr","604-222-2433","312-2083 Alma Street , Vancouver , BC V6R 4N6","www.6042222433.yp.ca",,clinic
"Bagshaw Elizabeth Women's Clinic","604-736-7878","200-1177 Broadway West , Vancouver , BC V6H 1G3","www.6047367878.yp.ca",,clinic
"Bai Hui Acupuncture Clinic","604-779-5880","","www.6047795880.yp.ca",,clinic
"Bakala Cam Dr","250-868-8056","204-3330 Richter Street , Kelowna , BC V1W 4V5","www.2508688056.yp.ca",,clinic
"Scident Family Dental Clinic","604-985-7032","120 15th Street East , North Vancouver , BC V7L 2P9","www.scident.ca",,clinic
"Scident Family Dental Clinic","604-985-7032","","www.6049857032.yp.ca",,clinic
"Scident Family Dental Clinic","604-985-7032","","www.6049857032.yp.ca",,clinic
"Scident Family Dental Clinic","604-985-7015","","www.6049857015.yp.ca",,clinic
"Scotch Creek Dental Clinic","250-955-0075","3-3874 Squilax-Anglmnt , Celista , BC V0E 1L0","www.2509550075.yp.ca",,clinic
"Scotch Creek Medical Clinic","250-955-0660","3874 Squilax-Anglemont , Celista V2C 2T1","www.2509550660.yp.ca",,clinic
"Scotiabank Dance Centre The","604-606-6438","677 Davie Street , Vancouver , BC V6B 2G6","www.6046066438.yp.ca",,clinic
"Scott Centre Orthopaedic & Sport Physiotherapy Clinic","604-590-3889","216-7313 120 Street , Delta , BC V4C 6P5","www.6045903889.yp.ca",,clinic
"Scott Centre Orthopaedic & Sport Physiotherapy Clinic","604-590-8689","","www.6045908689.yp.ca",,clinic
"Scott Homeopathic Clinic","250-381-8104","Upr-1619 Camosun Street , Victoria , BC V8T 3E5","www.2503818104.yp.ca",,clinic
"Scott-Navarro Physiotherapy Clinic","604-590-2804","8620 120 Street , Surrey , BC V3W 3N6","www.6045902804.yp.ca",,clinic
"Scott Road Eye Clinic","604-597-3937","8327 120 Street , Delta , BC V4C 6R1","www.6045973937.yp.ca",,clinic
"Scott Road Eye Clinic","604-592-3937","","www.6045923937.yp.ca",,clinic
"Scott Road Massage Therapy Clinic","604-597-9335","8636 120 Street , Surrey , BC V3W 3N6","www.6045979335.yp.ca",,clinic
"Scott Road Medical Clinic","604-594-9990","103-8425 120 Street , Delta , BC V4C 6R2","www.6045949990.yp.ca",,clinic
"Scottsdale Physiotherapy Clinic Inc","604-543-8508","6950 Nicholson Road , Delta , BC V4E 1Z7","www.6045438508.yp.ca",,clinic
"Scott Town Medical Clinic","604-588-0322","","www.6045880322.yp.ca",,clinic
"Scott Town Medical Clinic","604-588-0320","9556 120 Street , Surrey , BC V3V 4C1","www.6045880320.yp.ca",,clinic
"Scrivener Brian","250-374-9700","735 Victoria Street , Kamloops , BC V2C 2B5","www.2503749700.yp.ca",,clinic
"Seafair Animal Clinic","604-272-5253","7-8671 No. 1 Road , Richmond , BC V7C 1V2","www.vetbuy.com",,clinic
"Seafair Dental Clinic","604-277-3533","130-3920 Francis Road , Richmond , BC V7C 1J7","www.6042773533.yp.ca",,clinic
